date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,UCF,Away,L,82-78,50,NR,Q1
Nov 7,Iona,Away,L,81-73,237,NR,Q3
Nov 10,Molloy,Home,W,95-61,,NR,Q4
Nov 14,Bucknell,Away,W,83-77,333,NR,Q4
Nov 19,Temple,Away,L,81-76,162,NR,Q3
Nov 28,La Salle,Neutral,W,63-58,241,NR,Q4
Nov 29,Merrimack,Neutral,W,78-58,185,NR,Q3
Nov 30,Pennsylvania,Away,W,77-60,,NR,Q4
Dec 3,Columbia,Away,L,72-70,180,NR,Q3
Dec 7,Pittsburgh,Away,W,80-73,124,NR,Q2
Dec 10,Old Westbury,Home,W,92-23,,NR,Q4
Dec 13,Syracuse,Away,W,70-69,69,NR,Q1
Dec 21,Quinnipiac,Home,W,74-66,202,NR,Q4
Dec 29,Campbell,Home,W,86-72,207,NR,Q4
Jan 3,Drexel,Away,W,70-67,217,NR,Q3
Jan 8,Towson,Away,W,78-67,176,NR,Q3
Jan 10,Monmouth,Home,W,67-64,193,NR,Q4
Jan 15,Stony Brook,Away,L,76-71,212,NR,Q3
Jan 17,Elon,Home,L,89-85,192,NR,Q4
Jan 22,North Carolina A&T,Away,L,79-78,,NR,Q4
Jan 24,William & Mary,Away,L,89-82,114,NR,Q2
Jan 29,College of Charleston,Home,L,66-64,,NR,Q4
Jan 31,Monmouth,Away,W,73-57,193,NR,Q3
Feb 5,Northeastern,Home,W,80-63,273,NR,Q4
Feb 7,Towson,Home,W,71-49,176,NR,Q4
Feb 12,College of Charleston,Away,W,66-62,,NR,Q4
Feb 14,UNC Wilmington,Away,L,70-66,,NR,Q4
Feb 19,Hampton,Home,TBD,,258,NR,Q4
Feb 21,Northeastern,Away,TBD,,273,NR,Q4
Feb 28,Stony Brook,Home,TBD,,212,NR,Q4
Mar 3,Drexel,Home,TBD,,217,NR,Q4
