date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Southern Arkansas,Home,W,74-70,,NR,Q4
Nov 8,UC San Diego,Away,L,78-60,125,NR,Q2
Nov 13,Louisiana-Monroe,Home,W,72-61,,NR,Q4
Nov 20,College of Biblical Studies,Home,W,85-67,,NR,Q4
Nov 25,Bellarmine,Neutral,L,74-69,288,NR,Q4
Nov 26,The Citadel,Away,W,72-65,351,NR,Q4
Nov 29,Georgia Southern,Away,L,80-62,,NR,Q4
Dec 2,North Texas,Away,L,77-75,148,NR,Q3
Dec 6,New Orleans,Away,W,85-76,222,NR,Q3
Dec 13,Southeastern Louisiana,Home,L,74-71,,NR,Q4
Dec 15,McNeese State,Home,L,78-68,56,NR,Q2
Dec 17,Nicholls State,Away,L,79-64,,NR,Q4
Dec 29,Iowa State,Away,L,89-61,8,NR,Q1
Jan 3,Incarnate Word,Away,L,73-56,,NR,Q4
Jan 5,Texas A&M-Corpus Christi,Home,L,81-65,196,NR,Q4
Jan 10,Stephen F. Austin,Away,L,85-67,,NR,Q4
Jan 12,Lamar,Away,L,64-56,211,NR,Q3
Jan 17,East Texas A&M,Home,W,81-70,296,NR,Q4
Jan 19,Northwestern State,Home,W,82-80,,NR,Q4
Jan 24,Texas-Rio Grande Valley,Home,L,68-51,140,NR,Q3
Jan 27,Incarnate Word,Home,W,81-75,,NR,Q4
Jan 31,Texas A&M-Corpus Christi,Away,L,73-71,196,NR,Q3
Feb 2,Texas-Rio Grande Valley,Away,L,74-57,140,NR,Q3
Feb 7,Southeastern Louisiana,Away,L,55-47,,NR,Q4
Feb 9,McNeese State,Away,L,73-69,56,NR,Q1
Feb 14,New Orleans,Home,W,61-60,222,NR,Q4
Feb 16,Nicholls State,Home,TBD,,,NR,Q4
Feb 21,Northwestern State,Away,TBD,,,NR,Q4
Feb 23,East Texas A&M,Away,TBD,,296,NR,Q4
Feb 28,Stephen F. Austin,Home,TBD,,,NR,Q4
Mar 2,Lamar,Home,TBD,,211,NR,Q4
