date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Lehigh,Home,W,75-57,296,NR,Q4
Nov 8,Towson,Home,W,65-48,174,NR,Q4
Nov 12,Oakland,Home,W,78-45,148,NR,Q3
Nov 16,Auburn,Neutral,W,73-72,34,NR,Q1
Nov 20,Rider,Home,W,91-45,357,NR,Q4
Nov 24,Syracuse,Neutral,W,78-74,69,NR,Q2
Nov 25,Tennessee,Neutral,L,76-73,22,NR,Q1
Nov 26,Notre Dame,Neutral,W,66-56,87,NR,Q2
Dec 6,Florida State,Neutral,W,82-67,82,NR,Q2
Dec 10,Jackson State,Home,W,80-38,347,NR,Q4
Dec 13,New Orleans,Home,W,99-57,225,NR,Q4
Dec 20,Arkansas,Neutral,W,94-85,18,NR,Q1
Dec 29,Middle Tennessee,Home,W,69-60,161,NR,Q4
Jan 3,Cincinnati,Away,W,67-60,63,NR,Q1
Jan 6,Texas Tech,Home,W,69-65,16,NR,Q1
Jan 10,Baylor,Away,W,77-55,47,NR,Q1
Jan 13,West Virginia,Home,W,77-48,54,NR,Q2
Jan 18,Arizona State,Home,W,103-73,71,NR,Q2
Jan 24,Texas Tech,Away,L,90-86,16,NR,Q1
Jan 28,TCU,Away,W,79-70,45,NR,Q1
Jan 31,Cincinnati,Home,W,76-54,63,NR,Q2
Feb 4,UCF,Home,W,79-55,49,NR,Q2
Feb 7,Brigham Young,Away,W,77-66,20,NR,Q1
Feb 10,Utah,Away,W,66-52,126,NR,Q2
Feb 14,Kansas State,Home,W,78-64,101,NR,Q3
Feb 16,Iowa State,Away,TBD,,8,NR,Q1
Feb 21,Arizona,Home,TBD,,3,NR,Q1
Feb 23,Kansas,Away,TBD,,14,NR,Q1
Feb 28,Colorado,Home,TBD,,73,NR,Q2
Mar 4,Baylor,Home,TBD,,47,NR,Q2
Mar 7,Oklahoma State,Away,TBD,,72,NR,Q1
