date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Washington State,Away,W,83-81,135,NR,Q2
Nov 7,Whitman,Home,W,94-49,,NR,Q4
Nov 12,San Diego,Away,L,78-74,223,NR,Q3
Nov 15,UC San Diego,Away,L,75-67,125,NR,Q2
Nov 22,Eastern Oregon,Home,W,97-68,,NR,Q4
Nov 26,Cal State Northridge,Neutral,W,78-64,,NR,Q4
Nov 28,Sam Houston,Neutral,L,94-68,106,NR,Q3
Dec 3,North Dakota,Home,W,90-58,274,NR,Q4
Dec 6,South Dakota State,Away,W,84-81,204,NR,Q3
Dec 10,Notre Dame,Away,L,80-65,87,NR,Q2
Dec 14,Evergreen State,Home,W,109-55,,NR,Q4
Dec 21,Cal Poly,Away,W,83-80,238,NR,Q3
Dec 23,Cal State Bakersfield,Away,L,64-63,,NR,Q4
Jan 3,Eastern Washington,Home,W,84-81,,NR,Q4
Jan 8,Montana,Home,L,79-73,182,NR,Q4
Jan 10,Montana State,Home,W,92-89,,NR,Q4
Jan 14,Idaho State,Home,TBD,,,NR,Q4
Jan 15,Idaho State,Away,L,76-68,,NR,Q4
Jan 17,Weber State,Away,W,75-67,,NR,Q4
Jan 22,Sacramento State,Home,W,86-76,,NR,Q4
Jan 24,Portland State,Home,L,69-66,,NR,Q4
Jan 29,Northern Colorado,Away,L,91-83,,NR,Q4
Jan 31,Northern Arizona,Away,W,79-62,302,NR,Q4
Feb 5,Montana State,Away,L,73-66,,NR,Q4
Feb 7,Montana,Away,L,73-68,182,NR,Q3
Feb 12,Weber State,Home,L,83-72,,NR,Q4
Feb 14,Idaho State,Home,W,99-69,,NR,Q4
Feb 19,Portland State,Away,TBD,,,NR,Q4
Feb 21,Sacramento State,Away,TBD,,,NR,Q4
Feb 26,Northern Arizona,Home,TBD,,302,NR,Q4
Feb 28,Northern Colorado,Home,TBD,,,NR,Q4
Mar 2,Eastern Washington,Away,TBD,,,NR,Q4
