date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 6,Ohio,Away,L,72-68,213,NR,Q3
Nov 9,Cornell,Home,W,76-65,146,NR,Q3
Nov 14,Southern California,Neutral,L,87-67,48,NR,Q1
Nov 16,Long Beach State,Away,W,82-80,,NR,Q4
Nov 20,Rockford,Home,W,93-48,,NR,Q4
Nov 23,Coastal Carolina,Home,W,94-42,221,NR,Q4
Nov 27,Charlotte,Neutral,W,79-69,189,NR,Q3
Nov 28,Furman,Neutral,W,72-65,194,NR,Q3
Dec 3,Eastern Kentucky,Home,W,89-78,281,NR,Q4
Dec 6,Chicago State,Home,W,95-53,,NR,Q4
Dec 13,Utah State,Neutral,L,83-78,23,NR,Q1
Dec 18,Southern Illinois,Away,W,75-68,126,NR,Q2
Dec 21,Indiana State,Home,W,85-65,218,NR,Q4
Dec 29,Drake,Away,W,73-56,200,NR,Q3
Jan 1,Evansville,Home,W,73-47,292,NR,Q4
Jan 7,Valparaiso,Away,L,77-71,163,NR,Q3
Jan 10,Illinois-Chicago,Home,L,63-59,,NR,Q4
Jan 14,Indiana State,Away,L,94-89,218,NR,Q3
Jan 17,Bradley,Home,W,88-62,113,NR,Q3
Jan 21,Northern Iowa,Home,W,59-54,,NR,Q4
Jan 24,Belmont,Away,L,80-69,55,NR,Q1
Jan 28,Murray State,Away,W,70-65,,NR,Q4
Feb 3,Southern Illinois,Home,L,54-50,126,NR,Q3
Feb 6,Drake,Home,W,86-76,200,NR,Q4
Feb 9,Evansville,Away,L,88-80,292,NR,Q4
Feb 12,Valparaiso,Home,W,86-64,163,NR,Q4
Feb 15,Illinois-Chicago,Away,L,83-56,,NR,Q4
Feb 18,Murray State,Home,TBD,,,NR,Q4
Feb 21,Bradley,Away,TBD,,113,NR,Q2
Feb 25,Northern Iowa,Away,TBD,,,NR,Q4
Mar 1,Belmont,Home,TBD,,55,NR,Q2
