date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Ohio State,Away,L,118-102,38,NR,Q1
Nov 6,Long Island University,Home,L,94-90,195,NR,Q4
Nov 8,Butler,Away,L,112-80,80,NR,Q2
Nov 11,IU Columbus,Home,W,121-77,,NR,Q4
Nov 14,Eastern Michigan,Away,W,90-83,,NR,Q4
Nov 18,Charleston Southern,Away,L,103-91,,NR,Q4
Nov 21,Alabama State,Neutral,L,101-80,,NR,Q4
Nov 23,Air Force,Away,L,98-85,346,NR,Q4
Nov 29,Morehead State,Home,W,85-80,,NR,Q4
Dec 3,Detroit Mercy,Away,L,92-78,250,NR,Q4
Dec 6,Youngstown State,Home,L,78-55,,NR,Q4
Dec 11,Green Bay,Home,L,85-75,224,NR,Q4
Dec 16,Miami Middletown,Home,W,126-73,,NR,Q4
Dec 22,Grand Canyon,Away,L,91-78,76,NR,Q2
Dec 29,Cleveland State,Away,L,99-86,,NR,Q4
Jan 1,Northern Kentucky,Away,L,81-72,199,NR,Q3
Jan 4,Wright State,Home,L,81-77,,NR,Q4
Jan 9,Green Bay,Away,L,75-59,224,NR,Q3
Jan 11,Milwaukee,Away,L,95-83,246,NR,Q4
Jan 15,Robert Morris,Home,W,96-93,161,NR,Q4
Jan 17,Detroit Mercy,Home,L,80-77,250,NR,Q4
Jan 21,Oakland,Away,W,103-85,154,NR,Q3
Jan 25,Purdue Fort Wayne,Home,TBD,,253,NR,Q4
Jan 28,Robert Morris,Away,L,74-58,161,NR,Q3
Jan 30,Youngstown State,Away,L,85-76,,NR,Q4
Feb 7,Cleveland State,Home,W,82-74,,NR,Q4
Feb 10,Milwaukee,Home,L,92-88,246,NR,Q4
Feb 12,Northern Kentucky,Home,L,84-81,199,NR,Q4
Feb 15,Purdue Fort Wayne,Away,L,83-78,253,NR,Q4
Feb 19,Wright State,Away,TBD,,,NR,Q4
Feb 25,Oakland,Home,TBD,,154,NR,Q3
Feb 28,Purdue Fort Wayne,Home,TBD,,253,NR,Q4
