date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Illinois,Away,L,113-55,5,NR,Q1
Nov 6,Louisville,Away,L,106-70,12,NR,Q1
Nov 15,Louisiana Tech,Away,L,68-51,247,NR,Q4
Nov 19,Auburn,Away,L,112-66,32,NR,Q1
Nov 21,Arkansas,Away,L,115-61,18,NR,Q1
Nov 23,Winthrop,Home,L,80-62,121,NR,Q3
Nov 28,Louisiana,Away,W,51-45,312,NR,Q4
Dec 2,Kennesaw State,Away,L,88-73,,NR,Q4
Dec 10,Houston,Away,L,80-38,4,NR,Q1
Dec 13,Northwestern,Away,L,93-53,77,NR,Q2
Dec 18,Hampton,Neutral,L,84-77,258,NR,Q4
Dec 19,Norfolk State,Neutral,L,82-72,309,NR,Q4
Dec 29,TCU,Away,L,115-64,45,NR,Q1
Jan 3,Alcorn State,Home,W,89-86,,NR,Q4
Jan 10,Alabama State,Away,W,75-64,,NR,Q4
Jan 12,Alabama A&M,Away,L,100-91,311,NR,Q4
Jan 17,Prairie View,Home,W,82-78,330,NR,Q4
Jan 19,Texas Southern,Home,W,94-89,319,NR,Q4
Jan 24,Bethune-Cookman,Away,L,85-48,251,NR,Q4
Jan 26,Florida A&M,Away,W,66-65,336,NR,Q4
Jan 31,Grambling,Home,L,69-66,275,NR,Q4
Feb 2,Southern,Home,L,96-91,279,NR,Q4
Feb 7,Mississippi Valley State,Away,W,97-81,,NR,Q4
Feb 9,Arkansas-Pine Bluff,Away,L,84-63,,NR,Q4
Feb 14,Florida A&M,Home,W,80-60,336,NR,Q4
Feb 16,Bethune-Cookman,Home,TBD,,251,NR,Q4
Feb 21,Alcorn State,Away,TBD,,,NR,Q4
Feb 26,Prairie View,Away,TBD,,330,NR,Q4
Feb 28,Texas Southern,Away,TBD,,319,NR,Q4
Mar 3,Arkansas-Pine Bluff,Home,TBD,,,NR,Q4
Mar 5,Mississippi Valley State,Home,TBD,,,NR,Q4
