date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Oakwood,Home,W,117-63,,NR,Q4
Nov 10,Reinhardt,Home,W,114-39,,NR,Q4
Nov 14,Coastal Carolina,Home,W,74-67,221,NR,Q4
Nov 19,South Alabama,Home,L,71-65,168,NR,Q4
Nov 24,Arkansas State,Away,L,74-63,,NR,Q4
Nov 26,North Dakota State,Neutral,L,56-43,,NR,Q4
Dec 1,North Alabama,Home,L,73-66,,NR,Q4
Dec 7,Auburn Montgomery,Home,W,66-39,,NR,Q4
Dec 13,Georgia State,Away,L,77-73,,NR,Q4
Dec 17,Eastern Kentucky,Home,L,62-59,281,NR,Q4
Dec 20,East Tennessee State,Away,W,81-75,129,NR,Q2
Dec 29,Western Kentucky,Home,W,78-67,175,NR,Q4
Jan 2,Delaware,Away,W,67-64,267,NR,Q4
Jan 4,Liberty,Away,L,78-69,74,NR,Q1
Jan 7,Florida International,Home,W,71-64,,NR,Q4
Jan 10,Kennesaw State,Away,L,88-82,,NR,Q4
Jan 14,Sam Houston,Home,L,77-62,106,NR,Q3
Jan 17,Louisiana Tech,Home,W,64-60,247,NR,Q4
Jan 23,Middle Tennessee,Home,W,75-58,159,NR,Q3
Jan 28,Florida International,Away,W,78-74,,NR,Q4
Jan 31,Missouri State,Away,L,74-67,,NR,Q4
Feb 5,Western Kentucky,Away,W,71-66,175,NR,Q3
Feb 7,Kennesaw State,Home,W,77-58,,NR,Q4
Feb 11,UTEP,Home,L,69-64,264,NR,Q4
Feb 14,New Mexico State,Home,L,79-70,173,NR,Q4
Feb 18,Louisiana Tech,Away,TBD,,247,NR,Q4
Feb 21,Sam Houston,Away,TBD,,106,NR,Q2
Feb 26,Delaware,Home,TBD,,267,NR,Q4
Feb 28,Liberty,Home,TBD,,74,NR,Q2
Mar 5,New Mexico State,Away,TBD,,173,NR,Q3
Mar 7,UTEP,Away,TBD,,264,NR,Q4
