date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Miami (FL),Away,L,86-69,35,NR,Q1
Nov 6,Trinity (FL),Home,W,132-45,,NR,Q4
Nov 11,High Point,Away,L,85-64,75,NR,Q1
Nov 15,Virginia Military Institute,Away,W,69-67,,NR,Q4
Nov 18,George Mason,Away,L,79-57,91,NR,Q2
Nov 24,Bethune-Cookman,Neutral,W,69-64,251,NR,Q4
Nov 25,Pacific,Neutral,L,68-53,103,NR,Q3
Dec 2,Florida A&M,Home,W,85-82,336,NR,Q4
Dec 6,Florida International,Away,L,88-65,,NR,Q4
Dec 11,Trinity Christian,Home,W,122-49,,NR,Q4
Dec 14,Texas A&M,Away,L,112-75,43,NR,Q1
Dec 17,Florida A&M,Away,L,72-65,336,NR,Q4
Dec 22,Florida State,Away,L,87-63,82,NR,Q2
Jan 1,Lipscomb,Away,L,76-57,186,NR,Q3
Jan 3,Austin Peay,Away,L,71-68,134,NR,Q2
Jan 8,Queens (NC),Home,L,77-51,205,NR,Q4
Jan 10,West Georgia,Home,W,75-43,,NR,Q4
Jan 15,Central Arkansas,Away,L,62-60,181,NR,Q3
Jan 17,North Alabama,Away,W,90-68,,NR,Q4
Jan 22,Bellarmine,Home,L,77-70,288,NR,Q4
Jan 24,Eastern Kentucky,Home,W,81-76,281,NR,Q4
Jan 29,Lipscomb,Home,W,70-65,186,NR,Q4
Jan 31,Florida Gulf Coast,Home,L,68-49,257,NR,Q4
Feb 5,Queens (NC),Away,L,93-84,205,NR,Q3
Feb 7,West Georgia,Away,L,87-73,,NR,Q4
Feb 11,Stetson,Away,L,67-62,325,NR,Q4
Feb 14,North Florida,Home,W,63-56,337,NR,Q4
Feb 19,Florida Gulf Coast,Away,TBD,,257,NR,Q4
Feb 21,Austin Peay,Home,TBD,,134,NR,Q3
Feb 26,Stetson,Home,TBD,,325,NR,Q4
Feb 28,North Florida,Away,TBD,,337,NR,Q4
