date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Evangel,Home,W,80-74,,NR,Q4
Nov 7,Southern Illinois,Away,L,101-78,126,NR,Q2
Nov 11,Iona,Home,L,105-91,237,NR,Q4
Nov 15,Texas,Away,L,71-55,37,NR,Q1
Nov 19,TCU,Away,L,81-45,45,NR,Q1
Nov 24,Lindenwood,Away,L,80-67,240,NR,Q3
Nov 29,Weber State,Away,L,82-61,,NR,Q4
Dec 3,Idaho State,Home,L,68-59,,NR,Q4
Dec 6,Eastern Washington,Away,L,90-66,,NR,Q4
Dec 10,Weber State,Home,L,64-60,,NR,Q4
Dec 13,Spurgeon College,Home,W,102-75,,NR,Q4
Dec 16,Oklahoma,Away,L,89-67,68,NR,Q1
Dec 18,Oklahoma State,Away,L,91-79,72,NR,Q1
Dec 21,Austin Peay,Home,TBD,,134,NR,Q3
Dec 28,McPherson,Home,W,91-78,,NR,Q4
Dec 31,Denver,Away,L,87-74,233,NR,Q3
Jan 3,Omaha,Away,W,73-66,249,NR,Q4
Jan 8,North Dakota State,Home,L,97-73,,NR,Q4
Jan 10,North Dakota,Home,L,81-79,274,NR,Q4
Jan 15,South Dakota,Away,L,99-83,276,NR,Q4
Jan 17,South Dakota State,Away,L,90-62,204,NR,Q3
Jan 24,Omaha,Home,L,77-60,249,NR,Q4
Jan 28,Denver,Home,L,69-61,233,NR,Q4
Feb 1,St. Thomas,Away,L,99-64,,NR,Q4
Feb 4,South Dakota,Home,L,82-75,276,NR,Q4
Feb 12,Oral Roberts,Away,L,69-60,335,NR,Q4
Feb 14,St. Thomas,Home,L,104-64,,NR,Q4
Feb 19,North Dakota,Away,TBD,,274,NR,Q4
Feb 21,North Dakota State,Away,TBD,,,NR,Q4
Feb 26,South Dakota State,Home,TBD,,204,NR,Q4
Feb 28,Oral Roberts,Home,TBD,,335,NR,Q4
