date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Paine,Home,W,105-29,,NR,Q4
Nov 8,Florida A&M,Away,W,92-72,336,NR,Q4
Nov 12,Point University,Home,W,111-60,,NR,Q4
Nov 16,South Florida,Home,L,108-89,,NR,Q4
Nov 24,Rice,Neutral,W,89-84,248,NR,Q4
Nov 25,Oral Roberts,Neutral,L,91-83,335,NR,Q4
Nov 26,Florida Gulf Coast,Away,W,102-100,257,NR,Q4
Dec 2,Jackson State,Home,W,88-73,347,NR,Q4
Dec 6,Georgia State,Home,W,92-69,,NR,Q4
Dec 8,Southern Wesleyan,Home,W,121-66,,NR,Q4
Dec 17,Middle Tennessee,Away,L,68-67,159,NR,Q3
Dec 21,Alabama,Neutral,L,92-81,21,NR,Q1
Jan 2,Liberty,Away,L,81-73,74,NR,Q1
Jan 4,Delaware,Away,L,67-52,267,NR,Q4
Jan 7,Missouri State,Home,W,90-80,,NR,Q4
Jan 10,Jacksonville State,Home,W,88-82,,NR,Q4
Jan 14,Florida International,Home,W,89-86,,NR,Q4
Jan 17,Western Kentucky,Away,W,81-65,175,NR,Q3
Jan 21,Sam Houston,Away,L,93-87,106,NR,Q2
Jan 23,Louisiana Tech,Away,L,82-76,247,NR,Q4
Jan 28,Western Kentucky,Home,W,72-69,175,NR,Q4
Jan 31,New Mexico State,Home,W,76-53,173,NR,Q4
Feb 7,Jacksonville State,Away,L,77-58,,NR,Q4
Feb 12,Middle Tennessee,Home,L,90-87,159,NR,Q3
Feb 14,Sam Houston,Home,L,83-79,106,NR,Q3
Feb 18,Missouri State,Away,TBD,,,NR,Q4
Feb 21,Louisiana Tech,Home,TBD,,247,NR,Q4
Feb 26,Liberty,Home,TBD,,74,NR,Q2
Feb 28,Delaware,Home,TBD,,267,NR,Q4
Mar 5,UTEP,Away,TBD,,264,NR,Q4
Mar 7,New Mexico State,Away,TBD,,173,NR,Q3
