date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Nicholls State,Home,W,77-51,,NR,Q4
Nov 7,Valparaiso,Home,W,107-59,162,NR,Q4
Nov 11,Louisville,Away,L,96-88,12,NR,Q1
Nov 14,Eastern Illinois,Home,W,99-53,317,NR,Q4
Nov 18,Michigan State,Neutral,L,83-66,15,NR,Q1
Nov 21,Loyola (MD),Home,W,88-46,,NR,Q4
Nov 26,Tennessee Tech,Home,W,104-54,315,NR,Q4
Dec 2,North Carolina,Home,L,67-64,25,NR,Q1
Dec 5,Gonzaga,Neutral,L,94-59,6,NR,Q1
Dec 9,North Carolina Central,Home,W,103-67,339,NR,Q4
Dec 13,Indiana,Home,W,72-60,31,NR,Q2
Dec 20,St. John's (NY),Neutral,W,78-66,24,NR,Q1
Dec 23,Bellarmine,Home,W,99-85,288,NR,Q4
Jan 3,Alabama,Away,L,89-74,21,NR,Q1
Jan 7,Missouri,Home,L,73-68,66,NR,Q2
Jan 10,Mississippi State,Home,W,92-68,96,NR,Q3
Jan 14,Louisiana State,Away,W,75-74,67,NR,Q1
Jan 17,Tennessee,Away,W,80-78,22,NR,Q1
Jan 21,Texas,Home,W,85-80,37,NR,Q2
Jan 24,Mississippi,Home,W,72-63,92,NR,Q3
Jan 27,Vanderbilt,Away,L,80-55,13,NR,Q1
Jan 31,Arkansas,Away,W,85-77,18,NR,Q1
Feb 4,Oklahoma,Home,W,94-78,68,NR,Q2
Feb 7,Tennessee,Home,W,74-71,22,NR,Q1
Feb 14,Florida,Away,L,92-83,9,NR,Q1
Feb 17,Georgia,Home,TBD,,39,NR,Q2
Feb 21,Auburn,Away,TBD,,34,NR,Q1
Feb 24,South Carolina,Away,TBD,,112,NR,Q2
Feb 28,Vanderbilt,Home,TBD,,13,NR,Q1
Mar 3,Texas A&M,Away,TBD,,43,NR,Q1
Mar 7,Florida,Home,TBD,,9,NR,Q1
