date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,Coppin State,Home,W,87-59,,NR,Q4
Nov 8,Monmouth,Home,W,73-60,193,NR,Q4
Nov 11,Temple,Away,L,90-63,162,NR,Q3
Nov 15,Penn State,Neutral,L,83-69,122,NR,Q3
Nov 19,Villanova,Home,L,70-55,30,NR,Q1
Nov 22,Lancaster Bible,Home,W,75-46,,NR,Q4
Nov 28,Hofstra,Neutral,L,63-58,102,NR,Q3
Nov 29,Pennsylvania,Away,L,73-71,,NR,Q4
Nov 30,Merrimack,Neutral,L,66-60,185,NR,Q3
Dec 6,Drexel,Neutral,W,69-64,217,NR,Q4
Dec 13,Long Island University,Away,L,70-60,195,NR,Q3
Dec 19,High Point,Away,L,84-72,75,NR,Q1
Dec 21,Michigan,Away,L,102-50,1,NR,Q1
Dec 31,George Mason,Home,L,80-75,91,NR,Q3
Jan 3,George Washington,Away,L,77-55,84,NR,Q2
Jan 7,Rhode Island,Away,W,79-72,136,NR,Q3
Jan 10,Saint Louis,Home,L,84-72,17,NR,Q1
Jan 14,Richmond,Away,L,74-53,142,NR,Q3
Jan 17,St. Bonaventure,Home,W,78-74,145,NR,Q3
Jan 21,Dayton,Home,W,67-64,89,NR,Q3
Jan 28,Fordham,Away,L,64-58,178,NR,Q3
Jan 31,Saint Joseph's,Home,L,67-58,157,NR,Q3
Feb 3,Loyola (IL),Away,L,71-61,,NR,Q4
Feb 7,Saint Louis,Away,L,82-58,17,NR,Q1
Feb 11,Virginia Commonwealth,Home,L,77-68,,NR,Q4
Feb 18,Duquesne,Away,TBD,,117,NR,Q2
Feb 21,Rhode Island,Home,TBD,,136,NR,Q3
Feb 24,George Washington,Home,TBD,,84,NR,Q3
Mar 1,Davidson,Away,TBD,,104,NR,Q2
Mar 4,Fordham,Home,TBD,,178,NR,Q4
Mar 7,Saint Joseph's,Away,TBD,,157,NR,Q3
