date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Saint Joseph's,Away,L,85-76,157,NR,Q3
Nov 5,Dickinson College,Home,W,79-44,,NR,Q4
Nov 8,Texas,Away,L,97-60,37,NR,Q1
Nov 13,Cornell,Home,L,97-78,146,NR,Q3
Nov 17,West Virginia,Away,L,81-59,54,NR,Q1
Nov 21,Stonehill,Away,L,74-70,339,NR,Q4
Nov 28,Le Moyne,Home,L,76-63,280,NR,Q4
Nov 29,Ball State,Home,W,55-37,,NR,Q4
Nov 30,Monmouth,Home,L,88-74,193,NR,Q4
Dec 5,Mercyhurst,Home,W,79-71,283,NR,Q4
Dec 8,Pennsylvania,Away,L,74-72,,NR,Q4
Dec 18,Charlotte,Away,L,81-67,189,NR,Q3
Dec 20,Georgia Tech,Away,L,95-81,165,NR,Q3
Dec 31,Colgate,Home,L,85-77,201,NR,Q4
Jan 3,Loyola (MD),Away,W,79-64,,NR,Q4
Jan 7,Boston University,Home,L,83-67,152,NR,Q3
Jan 10,Navy,Away,L,76-50,150,NR,Q3
Jan 14,Bucknell,Away,L,76-69,333,NR,Q4
Jan 17,Holy Cross,Home,W,74-55,327,NR,Q4
Jan 21,Boston University,Away,L,77-73,152,NR,Q3
Jan 24,Lehigh,Away,L,64-59,295,NR,Q4
Jan 28,Bucknell,Home,W,81-79,333,NR,Q4
Jan 31,American,Away,W,67-65,261,NR,Q4
Feb 4,Navy,Home,L,65-50,150,NR,Q3
Feb 7,Army,Away,W,63-60,332,NR,Q4
Feb 11,Loyola (MD),Home,L,68-54,,NR,Q4
Feb 14,Lehigh,Home,L,78-69,295,NR,Q4
Feb 18,Holy Cross,Away,TBD,,327,NR,Q4
Feb 22,American,Home,TBD,,261,NR,Q4
Feb 25,Colgate,Away,TBD,,201,NR,Q3
Feb 28,Army,Home,TBD,,332,NR,Q4
