date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Texas A&M–San Antonio,Home,W,93-53,,NR,Q4
Nov 10,TCU,Away,L,78-65,45,NR,Q1
Nov 17,Louisiana-Monroe,Away,W,79-66,,NR,Q4
Nov 23,Montana,Away,W,68-63,182,NR,Q3
Nov 24,Oakland,Neutral,L,83-68,154,NR,Q3
Nov 29,Our Lady of the Lake,Home,W,90-46,,NR,Q4
Dec 3,Louisiana,Home,W,65-55,312,NR,Q4
Dec 6,Texas A&M-Corpus Christi,Home,L,57-49,196,NR,Q4
Dec 10,San Diego State,Away,L,89-71,41,NR,Q1
Dec 16,Texas-Rio Grande Valley,Home,L,83-72,140,NR,Q3
Dec 20,Omaha,Home,L,85-82,249,NR,Q4
Dec 29,Northwestern State,Away,W,76-61,,NR,Q4
Dec 31,East Texas A&M,Away,W,69-62,296,NR,Q4
Jan 2,McNeese State,Away,L,82-70,56,NR,Q1
Jan 5,Southeastern Louisiana,Away,L,60-52,,NR,Q4
Jan 10,Incarnate Word,Home,W,63-51,,NR,Q4
Jan 12,Houston Christian,Home,W,64-56,298,NR,Q4
Jan 17,Nicholls State,Away,W,90-80,,NR,Q4
Jan 19,New Orleans,Away,L,89-76,222,NR,Q3
Jan 24,Stephen F. Austin,Home,L,88-81,,NR,Q4
Jan 27,East Texas A&M,Home,W,82-61,296,NR,Q4
Jan 31,McNeese State,Home,L,64-63,56,NR,Q2
Feb 2,Southeastern Louisiana,Home,W,73-54,,NR,Q4
Feb 7,Stephen F. Austin,Away,L,84-74,,NR,Q4
Feb 9,Northwestern State,Home,L,70-68,,NR,Q4
Feb 14,Texas A&M-Corpus Christi,Away,L,76-63,196,NR,Q3
Feb 16,Texas-Rio Grande Valley,Away,TBD,,140,NR,Q3
Feb 21,New Orleans,Home,TBD,,222,NR,Q4
Feb 23,Nicholls State,Home,TBD,,,NR,Q4
Feb 28,Incarnate Word,Away,TBD,,,NR,Q4
Mar 2,Houston Christian,Away,TBD,,298,NR,Q4
