date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,SUNY Cobleskill,Home,W,94-50,,NR,Q4
Nov 6,Xavier,Away,L,74-69,97,NR,Q2
Nov 9,Bowling Green,Away,L,83-60,141,NR,Q3
Nov 13,Massachusetts,Away,L,94-80,191,NR,Q3
Nov 17,Niagara,Home,W,74-68,342,NR,Q4
Nov 22,Fairfield,Home,L,97-83,242,NR,Q4
Nov 28,Lafayette,Away,W,76-63,326,NR,Q4
Nov 29,Monmouth,Neutral,W,83-79,193,NR,Q3
Nov 30,Ball State,Neutral,L,96-85,,NR,Q4
Dec 6,Binghamton,Away,W,78-63,362,NR,Q4
Dec 16,Texas,Away,L,95-53,37,NR,Q1
Dec 20,St. Bonaventure,Away,L,92-81,145,NR,Q3
Dec 28,Boston College,Away,L,72-64,152,NR,Q3
Jan 2,Saint Francis (PA),Away,W,84-58,,NR,Q4
Jan 4,Mercyhurst,Away,L,74-60,283,NR,Q4
Jan 8,New Haven,Home,W,73-47,329,NR,Q4
Jan 10,Central Connecticut State,Home,L,69-59,,NR,Q4
Jan 17,Chicago State,Away,W,72-57,,NR,Q4
Jan 19,Long Island University,Home,W,83-77,195,NR,Q4
Jan 23,Wagner,Home,W,69-67,315,NR,Q4
Jan 26,FDU,Away,W,87-74,328,NR,Q4
Jan 29,Long Island University,Away,L,83-61,195,NR,Q3
Jan 31,Stonehill,Home,L,65-54,339,NR,Q4
Feb 5,Wagner,Away,L,79-78,315,NR,Q4
Feb 7,Saint Francis (PA),Home,W,86-84,,NR,Q4
Feb 12,Mercyhurst,Home,W,58-57,283,NR,Q4
Feb 14,Chicago State,Home,W,81-63,,NR,Q4
Feb 19,Central Connecticut State,Away,TBD,,,NR,Q4
Feb 21,Stonehill,Away,TBD,,339,NR,Q4
Feb 26,FDU,Home,TBD,,328,NR,Q4
Feb 28,New Haven,Away,TBD,,329,NR,Q4
