date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Kentucky Christian,Home,W,98-57,,NR,Q4
Nov 7,College of Charleston,Home,W,90-75,,NR,Q4
Nov 9,Florida Atlantic,Home,W,88-68,,NR,Q4
Nov 17,Carolina,Home,W,98-46,,NR,Q4
Nov 24,Vermont,Neutral,W,79-73,215,NR,Q4
Nov 25,Towson,Neutral,L,72-69,176,NR,Q3
Nov 26,Bradley,Neutral,L,74-64,113,NR,Q3
Dec 6,Coppin State,Home,W,92-50,,NR,Q4
Dec 10,NC State,Away,L,85-45,29,NR,Q1
Dec 16,Midway,Home,W,95-57,,NR,Q4
Dec 20,Dayton,Away,W,64-61,89,NR,Q2
Dec 28,Florida International,Away,W,97-94,,NR,Q4
Jan 2,Kennesaw State,Home,W,81-73,,NR,Q4
Jan 4,Jacksonville State,Home,W,78-69,,NR,Q4
Jan 8,Louisiana Tech,Away,W,72-56,247,NR,Q4
Jan 10,Sam Houston,Away,W,82-74,106,NR,Q2
Jan 15,New Mexico State,Home,W,73-71,173,NR,Q4
Jan 17,UTEP,Home,W,80-69,264,NR,Q4
Jan 21,Western Kentucky,Away,W,76-69,175,NR,Q3
Jan 24,Delaware,Home,W,67-51,267,NR,Q4
Jan 29,Middle Tennessee,Away,W,81-65,159,NR,Q3
Feb 4,Delaware,Away,W,75-69,267,NR,Q4
Feb 7,Missouri State,Home,W,79-76,,NR,Q4
Feb 11,New Mexico State,Away,W,77-75,173,NR,Q3
Feb 14,UTEP,Away,W,73-64,264,NR,Q4
Feb 19,Florida International,Home,TBD,,,NR,Q4
Feb 21,Western Kentucky,Home,TBD,,175,NR,Q4
Feb 26,Kennesaw State,Away,TBD,,,NR,Q4
Feb 28,Jacksonville State,Away,TBD,,,NR,Q4
Mar 5,Louisiana Tech,Home,TBD,,247,NR,Q4
Mar 7,Sam Houston,Home,TBD,,106,NR,Q3
