date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Texas Tech,Away,L,98-60,16,NR,Q1
Nov 6,St. Louis College of Pharmacy,Home,W,116-51,,NR,Q4
Nov 10,Saint Louis,Away,L,109-66,17,NR,Q1
Nov 14,Charleston Southern,Neutral,W,83-77,,NR,Q4
Nov 16,Alabama A&M,Away,L,74-65,311,NR,Q4
Nov 20,Indiana,Away,L,73-53,34,NR,Q1
Nov 24,Kansas City,Home,W,80-67,355,NR,Q4
Dec 2,Northern Illinois,Away,W,99-64,,NR,Q4
Dec 6,Eastern Illinois,Away,W,82-74,317,NR,Q4
Dec 9,Culver-Stockton,Home,W,110-44,,NR,Q4
Dec 18,Western Illinois,Home,W,92-76,,NR,Q4
Dec 20,Harris-Stowe,Home,W,109-52,,NR,Q4
Dec 23,Missouri State,Away,L,70-65,,NR,Q4
Jan 1,Morehead State,Home,W,77-64,,NR,Q4
Jan 3,Southern Indiana,Home,W,83-80,,NR,Q4
Jan 6,Southern Illinois-Edwardsville,Away,L,66-62,,NR,Q4
Jan 10,Little Rock,Home,L,82-74,307,NR,Q4
Jan 15,Southeast Missouri State,Away,W,88-76,,NR,Q4
Jan 17,Tennessee-Martin,Away,L,69-55,,NR,Q4
Jan 22,Tennessee Tech,Home,W,89-68,316,NR,Q4
Jan 24,Tennessee State,Home,L,96-86,235,NR,Q4
Jan 29,Southern Indiana,Away,W,73-60,,NR,Q4
Jan 31,Morehead State,Away,W,79-78,,NR,Q4
Feb 3,Southern Illinois-Edwardsville,Home,L,78-72,,NR,Q4
Feb 5,Little Rock,Away,W,79-74,307,NR,Q4
Feb 12,Tennessee-Martin,Home,W,75-74,,NR,Q4
Feb 14,Southeast Missouri State,Home,L,73-61,,NR,Q4
Feb 19,Tennessee State,Away,TBD,,235,NR,Q3
Feb 21,Tennessee Tech,Away,TBD,,316,NR,Q4
Feb 26,Eastern Illinois,Home,TBD,,317,NR,Q4
Feb 28,Western Illinois,Away,TBD,,,NR,Q4
