date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Vanderbilt,Away,L,105-61,13,NR,Q1
Nov 9,Mercer,Away,L,92-77,153,NR,Q3
Nov 11,UNC Asheville,Away,L,69-64,228,NR,Q3
Nov 15,Bryan,Home,W,98-53,,NR,Q4
Nov 19,Belmont,Away,L,75-68,55,NR,Q1
Nov 22,Western Carolina,Home,W,83-62,263,NR,Q4
Nov 26,Marshall,Away,W,90-67,149,NR,Q3
Nov 29,Southeast Missouri State,Away,W,88-77,,NR,Q4
Dec 3,Tennessee Tech,Home,W,83-80,316,NR,Q4
Dec 7,Alabama A&M,Home,W,92-58,311,NR,Q4
Dec 16,Duke,Away,L,97-73,2,NR,Q1
Dec 20,Blue Mountain Christian University,Home,W,123-60,,NR,Q4
Dec 29,Cincinnati,Away,L,89-62,63,NR,Q1
Jan 1,Jacksonville,Home,W,76-57,306,NR,Q4
Jan 3,North Florida,Home,W,82-74,337,NR,Q4
Jan 8,Stetson,Away,L,91-83,325,NR,Q4
Jan 10,Florida Gulf Coast,Away,W,84-77,257,NR,Q4
Jan 15,Bellarmine,Home,W,81-71,288,NR,Q4
Jan 17,Austin Peay,Home,W,82-78,134,NR,Q3
Jan 22,Stetson,Home,W,79-74,325,NR,Q4
Jan 23,Florida Gulf Coast,Home,W,86-71,257,NR,Q4
Jan 29,Jacksonville,Away,L,70-65,306,NR,Q4
Jan 31,North Florida,Away,W,100-94,337,NR,Q4
Feb 4,Austin Peay,Away,L,87-76,134,NR,Q2
Feb 7,Central Arkansas,Home,L,86-78,181,NR,Q4
Feb 11,Eastern Kentucky,Home,W,75-61,281,NR,Q4
Feb 14,Queens (NC),Away,L,87-81,205,NR,Q3
Feb 18,Bellarmine,Away,TBD,,288,NR,Q4
Feb 21,North Alabama,Home,TBD,,,NR,Q4
Feb 25,West Georgia,Away,TBD,,,NR,Q4
Feb 28,Eastern Kentucky,Away,TBD,,281,NR,Q4
