date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Mary Baldwin,Home,W,92-55,,NR,Q4
Nov 7,Pittsburgh,Away,L,78-60,124,NR,Q2
Nov 12,James Madison,Home,W,82-72,219,NR,Q4
Nov 15,Binghamton,Home,W,90-82,362,NR,Q4
Nov 18,Maryland-Eastern Shore,Home,L,83-82,,NR,Q4
Nov 23,Columbia,Away,L,95-70,180,NR,Q3
Nov 28,Siena,Neutral,L,70-63,188,NR,Q3
Nov 29,Maine,Neutral,W,65-61,343,NR,Q4
Nov 30,American,Away,L,92-66,261,NR,Q4
Dec 3,Pfeiffer,Home,W,101-55,,NR,Q4
Dec 6,Morgan State,Away,W,84-80,,NR,Q4
Dec 13,Delaware State,Home,L,81-76,,NR,Q4
Dec 17,Wake Forest,Away,L,71-68,64,NR,Q1
Dec 20,North Carolina Central,Away,W,74-72,340,NR,Q4
Dec 28,Averett,Home,W,92-49,,NR,Q4
Dec 31,Winthrop,Home,W,82-70,121,NR,Q3
Jan 3,High Point,Away,L,80-67,75,NR,Q1
Jan 7,UNC Asheville,Away,L,72-61,228,NR,Q3
Jan 10,Presbyterian,Home,W,77-70,271,NR,Q4
Jan 17,Radford,Away,L,85-83,239,NR,Q3
Jan 21,Gardner-Webb,Home,W,91-56,363,NR,Q4
Jan 23,Charleston Southern,Home,W,81-79,,NR,Q4
Jan 29,South Carolina Upstate,Away,L,65-60,293,NR,Q4
Jan 31,High Point,Home,L,71-59,75,NR,Q2
Feb 4,Gardner-Webb,Away,W,86-66,363,NR,Q4
Feb 7,Winthrop,Away,L,79-74,121,NR,Q2
Feb 12,UNC Asheville,Home,L,79-74,228,NR,Q4
Feb 14,South Carolina Upstate,Home,W,82-75,293,NR,Q4
Feb 19,Presbyterian,Away,TBD,,271,NR,Q4
Feb 21,Charleston Southern,Away,TBD,,,NR,Q4
Feb 28,Radford,Home,TBD,,239,NR,Q4
