date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Nevada,Away,L,77-50,59,NR,Q1
Nov 9,Lyon,Home,W,93-35,,NR,Q4
Nov 15,Jackson State,Home,W,68-51,347,NR,Q4
Nov 19,Indiana State,Away,L,60-51,218,NR,Q3
Nov 26,Indiana State,Home,W,75-73,218,NR,Q4
Nov 29,Alcorn State,Home,W,83-58,,NR,Q4
Dec 3,Georgia Southern,Away,L,77-69,,NR,Q4
Dec 7,Ecclesia,Home,W,89-37,,NR,Q4
Dec 13,Louisiana,Home,W,65-44,312,NR,Q4
Dec 17,Tulane,Away,L,61-53,190,NR,Q3
Dec 22,Dallas Christian,Home,W,90-37,,NR,Q4
Dec 29,UTEP,Home,W,75-63,264,NR,Q4
Jan 2,Middle Tennessee,Away,L,88-51,159,NR,Q3
Jan 4,Western Kentucky,Away,L,66-61,175,NR,Q3
Jan 8,Liberty,Home,L,72-56,74,NR,Q2
Jan 10,Delaware,Home,W,70-68,267,NR,Q4
Jan 14,Middle Tennessee,Home,W,59-58,159,NR,Q3
Jan 17,Jacksonville State,Away,L,64-60,,NR,Q4
Jan 23,Kennesaw State,Home,W,82-76,,NR,Q4
Jan 28,UTEP,Away,W,69-59,264,NR,Q4
Jan 31,Sam Houston,Away,L,83-67,106,NR,Q2
Feb 4,New Mexico State,Home,L,72-63,173,NR,Q4
Feb 7,Sam Houston,Home,W,87-78,106,NR,Q3
Feb 12,Missouri State,Away,W,79-78,,NR,Q4
Feb 14,Florida International,Away,L,77-64,,NR,Q4
Feb 18,Jacksonville State,Home,TBD,,,NR,Q4
Feb 21,Kennesaw State,Away,TBD,,,NR,Q4
Feb 26,Missouri State,Home,TBD,,,NR,Q4
Feb 28,Florida International,Home,TBD,,,NR,Q4
Mar 5,Liberty,Away,TBD,,74,NR,Q1
Mar 7,Delaware,Away,TBD,,267,NR,Q4
