date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Ball State,Away,L,75-64,,NR,Q4
Nov 7,Southeastern Louisiana,Home,W,58-52,,NR,Q4
Nov 11,Tulane,Home,L,66-62,190,NR,Q4
Nov 14,McNeese State,Away,L,88-62,56,NR,Q1
Nov 18,Stanford,Away,L,93-66,70,NR,Q1
Nov 21,Santa Clara,Away,L,80-43,42,NR,Q1
Nov 24,UC Davis,Away,L,77-56,166,NR,Q3
Nov 28,Jackson State,Home,L,51-45,347,NR,Q4
Dec 3,Lamar,Away,L,65-55,211,NR,Q3
Dec 6,UNC Wilmington,Home,L,70-63,,NR,Q4
Dec 13,Louisiana Tech,Away,L,65-44,247,NR,Q4
Dec 18,Southern Mississippi,Away,L,62-54,,NR,Q4
Dec 20,Louisiana-Monroe,Away,W,76-62,,NR,Q4
Dec 28,Norfolk State,Home,W,63-54,309,NR,Q4
Dec 31,South Alabama,Home,L,63-58,168,NR,Q4
Jan 3,Southern Mississippi,Home,L,74-67,,NR,Q4
Jan 8,Louisiana-Monroe,Home,W,85-79,,NR,Q4
Jan 10,Troy,Home,L,90-70,132,NR,Q3
Jan 14,Texas State,Away,L,59-54,,NR,Q4
Jan 17,South Alabama,Away,W,59-56,168,NR,Q3
Jan 22,Appalachian State,Away,L,72-58,,NR,Q4
Jan 29,Georgia State,Home,W,82-72,,NR,Q4
Jan 31,Georgia Southern,Home,W,69-60,,NR,Q4
Feb 4,James Madison,Away,W,64-61,219,NR,Q3
Feb 7,Central Michigan,Home,W,85-80,,NR,Q4
Feb 12,Coastal Carolina,Home,L,69-65,221,NR,Q4
Feb 16,Old Dominion,Away,TBD,,256,NR,Q4
Feb 19,Arkansas State,Home,TBD,,,NR,Q4
Feb 21,Texas State,Home,TBD,,,NR,Q4
Feb 24,Troy,Away,TBD,,132,NR,Q2
Feb 27,Arkansas State,Away,TBD,,,NR,Q4
