date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Cleveland State,Home,W,91-88,,NR,Q4
Nov 6,Mercyhurst,Home,L,73-65,283,NR,Q4
Nov 9,North Texas,Neutral,L,64-62,148,NR,Q3
Nov 13,Wichita State,Away,L,95-74,,NR,Q4
Nov 16,Colorado State,Home,L,80-67,95,NR,Q3
Nov 21,Northern Illinois,Home,L,76-59,,NR,Q4
Nov 25,Northern Iowa,Neutral,L,72-51,,NR,Q4
Nov 26,San Jose State,Neutral,L,63-51,265,NR,Q4
Dec 2,Central Michigan,Home,W,83-72,,NR,Q4
Dec 6,Princeton,Home,W,73-68,254,NR,Q4
Dec 14,Chicago State,Home,L,84-75,,NR,Q4
Dec 17,San Francisco,Neutral,L,85-71,118,NR,Q3
Dec 20,Santa Clara,Neutral,W,80-78,42,NR,Q1
Dec 31,Rhode Island,Away,W,61-57,136,NR,Q3
Jan 3,Dayton,Home,L,70-68,89,NR,Q3
Jan 7,Davidson,Home,L,79-64,104,NR,Q3
Jan 10,George Washington,Away,L,101-66,84,NR,Q2
Jan 13,George Mason,Home,L,82-74,91,NR,Q3
Jan 16,Dayton,Away,L,78-51,89,NR,Q2
Jan 20,St. Bonaventure,Away,L,84-70,145,NR,Q3
Jan 24,Duquesne,Home,L,71-59,117,NR,Q3
Jan 27,Saint Joseph's,Home,L,85-64,157,NR,Q3
Jan 30,Virginia Commonwealth,Away,L,89-75,,NR,Q4
Feb 3,La Salle,Home,W,71-61,241,NR,Q4
Feb 6,Davidson,Away,L,84-64,104,NR,Q2
Feb 13,Saint Louis,Home,L,86-59,17,NR,Q1
Feb 18,Fordham,Away,TBD,,178,NR,Q3
Feb 21,Saint Joseph's,Away,TBD,,157,NR,Q3
Feb 28,Richmond,Home,TBD,,142,NR,Q3
Mar 4,Saint Louis,Away,TBD,,17,NR,Q1
Mar 7,George Washington,Home,TBD,,84,NR,Q3
