date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,St. Joseph's–Brooklyn,Home,W,125-59,,NR,Q4
Nov 9,Southern California,Away,L,114-83,48,NR,Q1
Nov 12,Utah Tech,Neutral,W,79-75,156,NR,Q3
Nov 15,Hawaii,Away,L,86-56,98,NR,Q2
Nov 15,Mississippi Valley State,Neutral,W,80-73,,NR,Q4
Nov 21,Texas A&M,Away,L,109-68,43,NR,Q1
Nov 26,Wagner,Home,L,103-101,315,NR,Q4
Nov 29,Army,Away,L,81-78,332,NR,Q4
Dec 5,Fairfield,Home,W,70-66,242,NR,Q4
Dec 7,Marist,Away,L,80-68,170,NR,Q3
Dec 13,Fordham,Away,L,82-53,178,NR,Q3
Dec 18,Furman,Home,L,75-68,194,NR,Q4
Dec 21,Presbyterian,Home,W,87-81,271,NR,Q4
Dec 29,Rider,Away,W,74-71,357,NR,Q4
Jan 2,Quinnipiac,Home,W,80-79,202,NR,Q4
Jan 4,Merrimack,Away,L,73-66,185,NR,Q3
Jan 9,Canisius,Home,L,70-64,348,NR,Q4
Jan 11,Niagara,Home,W,79-70,342,NR,Q4
Jan 14,Fairfield,Away,L,98-62,242,NR,Q4
Jan 17,Siena,Home,L,74-59,188,NR,Q4
Jan 19,Quinnipiac,Away,L,98-92,202,NR,Q3
Jan 24,Iona,Away,L,66-57,237,NR,Q3
Jan 30,Rider,Home,W,95-90,357,NR,Q4
Feb 1,Mount St. Mary's,Away,L,72-65,299,NR,Q4
Feb 5,Saint Peter's,Home,L,80-75,226,NR,Q4
Feb 7,Sacred Heart,Home,W,80-68,297,NR,Q4
Feb 13,Niagara,Away,W,76-69,342,NR,Q4
Feb 15,Canisius,Away,W,69-65,348,NR,Q4
Feb 20,Marist,Home,TBD,,170,NR,Q4
Feb 27,Saint Peter's,Away,TBD,,226,NR,Q3
Mar 1,Iona,Home,TBD,,237,NR,Q4
