date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Champion Christian,Home,W,127-65,,NR,Q4
Nov 7,Santa Clara,Away,L,79-67,42,NR,Q1
Nov 10,College of Biblical Studies,Home,W,132-50,,NR,Q4
Nov 14,Louisiana,Home,W,88-62,312,NR,Q4
Nov 23,George Washington,Neutral,W,92-86,84,NR,Q2
Nov 24,Murray State,Neutral,W,73-60,,NR,Q4
Nov 25,Middle Tennessee,Neutral,W,72-62,159,NR,Q3
Dec 1,Incarnate Word,Away,L,71-67,,NR,Q4
Dec 5,Northwestern State,Home,W,92-54,,NR,Q4
Dec 9,Rhode Island,Away,W,66-64,136,NR,Q3
Dec 12,East Texas A&M,Home,W,102-66,296,NR,Q4
Dec 15,Houston Christian,Away,W,78-68,298,NR,Q4
Dec 29,Michigan,Away,L,112-71,1,NR,Q1
Jan 2,Lamar,Home,W,82-70,211,NR,Q4
Jan 5,Stephen F. Austin,Home,W,66-64,,NR,Q4
Jan 10,Southeastern Louisiana,Home,W,73-61,,NR,Q4
Jan 12,Nicholls State,Home,W,94-68,,NR,Q4
Jan 17,Texas-Rio Grande Valley,Away,L,79-76,140,NR,Q3
Jan 19,Texas A&M-Corpus Christi,Away,W,69-53,196,NR,Q3
Jan 24,New Orleans,Home,W,82-63,222,NR,Q4
Jan 27,Southeastern Louisiana,Away,W,76-66,,NR,Q4
Jan 31,Lamar,Away,W,64-63,211,NR,Q3
Feb 2,Stephen F. Austin,Away,L,67-60,,NR,Q4
Feb 7,Incarnate Word,Home,W,81-64,,NR,Q4
Feb 9,Houston Christian,Home,W,73-69,298,NR,Q4
Feb 14,East Texas A&M,Away,W,97-54,296,NR,Q4
Feb 16,Northwestern State,Away,TBD,,,NR,Q4
Feb 21,Texas A&M-Corpus Christi,Home,TBD,,196,NR,Q4
Feb 23,Texas-Rio Grande Valley,Home,TBD,,140,NR,Q3
Feb 28,New Orleans,Away,TBD,,222,NR,Q3
Mar 2,Nicholls State,Away,TBD,,,NR,Q4
