date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Northwestern,Away,L,70-47,77,NR,Q2
Nov 6,Loyola (IL),Away,W,73-65,,NR,Q4
Nov 8,Penn State New Kensington,Home,W,94-43,,NR,Q4
Nov 12,Canisius,Away,L,58-55,348,NR,Q4
Nov 15,Morgan State,Home,W,86-72,,NR,Q4
Nov 20,Miami (OH),Away,L,76-71,51,NR,Q1
Nov 23,Marshall,Away,L,69-60,149,NR,Q3
Nov 30,West Virginia,Away,L,70-38,54,NR,Q1
Dec 5,Lafayette,Away,L,79-71,326,NR,Q4
Dec 7,Bethany (WV),Home,W,80-51,,NR,Q4
Dec 13,Davidson,Away,L,80-47,104,NR,Q2
Dec 17,Syracuse,Away,L,76-62,69,NR,Q1
Dec 20,Binghamton,Home,W,82-61,362,NR,Q4
Jan 2,FDU,Home,L,74-67,328,NR,Q4
Jan 4,Le Moyne,Home,W,74-60,280,NR,Q4
Jan 8,Long Island University,Away,L,60-58,195,NR,Q3
Jan 10,Wagner,Away,W,70-69,315,NR,Q4
Jan 17,Stonehill,Home,L,62-57,339,NR,Q4
Jan 19,Central Connecticut State,Home,W,79-61,,NR,Q4
Jan 23,New Haven,Away,W,61-57,329,NR,Q4
Jan 25,Chicago State,Home,W,61-59,,NR,Q4
Jan 29,New Haven,Home,W,70-51,329,NR,Q4
Jan 31,Chicago State,Away,L,78-74,,NR,Q4
Feb 5,Saint Francis (PA),Home,W,98-89,,NR,Q4
Feb 7,FDU,Away,L,55-52,328,NR,Q4
Feb 12,Le Moyne,Away,L,58-57,280,NR,Q4
Feb 14,Saint Francis (PA),Away,W,94-79,,NR,Q4
Feb 19,Wagner,Home,TBD,,315,NR,Q4
Feb 21,Long Island University,Home,TBD,,195,NR,Q4
Feb 26,Central Connecticut State,Away,TBD,,,NR,Q4
Feb 28,Stonehill,Away,TBD,,339,NR,Q4
