date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Oakland,Home,W,121-78,148,NR,Q3
Nov 11,Wake Forest,Neutral,W,85-84,64,NR,Q2
Nov 14,TCU,Away,W,67-63,45,NR,Q1
Nov 19,Middle Tennessee,Home,W,86-61,161,NR,Q4
Nov 24,San Diego State,Neutral,W,94-54,41,NR,Q1
Nov 25,Auburn,Neutral,W,102-72,34,NR,Q1
Nov 26,Gonzaga,Neutral,W,101-61,6,NR,Q1
Dec 6,Rutgers,Home,W,101-60,165,NR,Q4
Dec 9,Villanova,Home,W,89-61,30,NR,Q1
Dec 13,Maryland,Away,W,101-83,149,NR,Q3
Dec 21,La Salle,Home,W,102-50,242,NR,Q4
Dec 29,McNeese State,Home,W,112-71,55,NR,Q2
Jan 2,Southern California,Home,W,96-66,48,NR,Q2
Jan 6,Penn State,Away,W,74-72,120,NR,Q2
Jan 10,Wisconsin,Home,L,91-88,33,NR,Q2
Jan 14,Washington,Away,W,82-72,52,NR,Q1
Jan 17,Oregon,Away,W,81-71,107,NR,Q2
Jan 20,Indiana,Home,W,86-72,31,NR,Q2
Jan 23,Ohio State,Home,W,74-62,38,NR,Q2
Jan 27,Nebraska,Home,W,75-72,11,NR,Q1
Jan 30,Michigan State,Away,W,83-71,15,NR,Q1
Feb 5,Penn State,Home,W,110-69,120,NR,Q3
Feb 8,Ohio State,Away,W,82-61,38,NR,Q1
Feb 11,Northwestern,Away,W,87-75,78,NR,Q2
Feb 14,UCLA,Home,W,86-56,40,NR,Q2
Feb 17,Purdue,Away,TBD,,5,NR,Q1
Feb 21,Duke,Neutral,TBD,,2,NR,Q1
Feb 24,Minnesota,Home,TBD,,86,NR,Q3
Feb 27,Illinois,Away,TBD,,7,NR,Q1
Mar 5,Iowa,Away,TBD,,27,NR,Q1
Mar 8,Michigan State,Home,TBD,,15,NR,Q1
