date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Missouri Southern State,Home,W,88-70,,NR,Q4
Nov 8,Northwestern Oklahoma State,Home,W,106-57,,NR,Q4
Nov 11,Arkansas State,Home,L,86-85,,NR,Q4
Nov 15,UT Arlington,Away,L,67-49,158,NR,Q3
Nov 22,Texas-Rio Grande Valley,Home,W,74-67,140,NR,Q3
Nov 24,Long Island University,Home,L,75-61,195,NR,Q4
Nov 30,Northeastern State,Home,W,92-71,,NR,Q4
Dec 6,Tulsa,Away,L,98-74,53,NR,Q1
Dec 12,Xavier,Away,L,75-57,97,NR,Q2
Dec 16,Oral Roberts,Home,W,63-62,335,NR,Q4
Dec 23,Lindenwood,Home,W,70-65,240,NR,Q4
Dec 29,Delaware,Away,W,61-43,267,NR,Q4
Jan 2,UTEP,Home,W,79-55,264,NR,Q4
Jan 4,New Mexico State,Home,W,89-82,173,NR,Q4
Jan 7,Kennesaw State,Away,L,90-80,,NR,Q4
Jan 10,Florida International,Home,W,79-71,,NR,Q4
Jan 14,Western Kentucky,Away,L,87-72,175,NR,Q3
Jan 17,Middle Tennessee,Away,L,90-87,159,NR,Q3
Jan 22,New Mexico State,Away,W,84-75,173,NR,Q3
Jan 24,UTEP,Away,W,62-57,264,NR,Q4
Jan 28,Sam Houston,Home,L,80-71,106,NR,Q3
Jan 31,Jacksonville State,Home,W,74-67,,NR,Q4
Feb 7,Liberty,Away,L,79-76,74,NR,Q1
Feb 12,Louisiana Tech,Home,L,79-78,247,NR,Q4
Feb 14,Delaware,Home,L,76-67,267,NR,Q4
Feb 18,Kennesaw State,Home,TBD,,,NR,Q4
Feb 21,Florida International,Away,TBD,,,NR,Q4
Feb 26,Louisiana Tech,Away,TBD,,247,NR,Q4
Feb 28,Sam Houston,Away,TBD,,106,NR,Q2
Mar 5,Western Kentucky,Home,TBD,,175,NR,Q4
Mar 7,Middle Tennessee,Home,TBD,,159,NR,Q3
