date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Howard,Away,W,88-67,229,NR,Q3
Nov 7,Southeast Missouri State,Home,W,89-84,,NR,Q4
Nov 9,Virginia Military Institute,Home,W,106-68,,NR,Q4
Nov 12,Minnesota,Home,W,83-60,86,NR,Q3
Nov 17,Prairie View,Home,W,91-73,330,NR,Q4
Nov 20,South Dakota,Home,W,102-68,277,NR,Q4
Nov 25,South Carolina State,Home,W,98-66,358,NR,Q4
Nov 28,Cleveland State,Home,W,86-59,,NR,Q4
Dec 2,Notre Dame,Away,L,76-71,87,NR,Q2
Dec 7,Kansas,Away,L,80-60,14,NR,Q1
Dec 11,Alabama State,Home,W,85-77,,NR,Q4
Dec 14,Bethune-Cookman,Home,W,82-60,250,NR,Q4
Dec 22,Illinois,Neutral,L,91-48,7,NR,Q1
Jan 3,Florida,Home,W,76-74,9,NR,Q1
Jan 7,Kentucky,Away,W,73-68,28,NR,Q1
Jan 10,Mississippi,Away,L,76-69,92,NR,Q2
Jan 14,Auburn,Home,W,84-74,34,NR,Q2
Jan 17,Louisiana State,Away,L,78-70,67,NR,Q1
Jan 20,Georgia,Home,L,74-72,39,NR,Q2
Jan 24,Oklahoma,Home,W,88-87,68,NR,Q2
Jan 27,Alabama,Away,L,90-64,21,NR,Q1
Jan 31,Mississippi State,Home,W,84-79,96,NR,Q3
Feb 7,South Carolina,Away,W,78-59,112,NR,Q2
Feb 11,Texas A&M,Away,W,86-85,43,NR,Q1
Feb 14,Texas,Home,L,85-68,37,NR,Q2
Feb 18,Vanderbilt,Home,TBD,,13,NR,Q1
Feb 21,Arkansas,Away,TBD,,18,NR,Q1
Feb 24,Tennessee,Home,TBD,,22,NR,Q1
Feb 28,Mississippi State,Away,TBD,,96,NR,Q2
Mar 3,Oklahoma,Away,TBD,,68,NR,Q1
Mar 7,Arkansas,Home,TBD,,18,NR,Q1
