date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Caldwell,Home,W,96-68,,NR,Q4
Nov 8,La Salle,Away,L,73-60,241,NR,Q4
Nov 13,Seton Hall,Away,L,70-58,49,NR,Q1
Nov 18,Syracuse,Away,L,78-73,69,NR,Q1
Nov 23,Robert Morris,Home,W,71-70,161,NR,Q4
Nov 28,Ball State,Neutral,W,80-73,,NR,Q4
Nov 29,Le Moyne,Neutral,L,83-79,280,NR,Q4
Nov 30,Lafayette,Away,W,88-74,326,NR,Q4
Dec 3,Princeton,Home,W,63-58,254,NR,Q4
Dec 6,Georgia Tech,Away,L,79-67,165,NR,Q3
Dec 14,Fairfield,Away,L,73-65,242,NR,Q4
Dec 17,Quinnipiac,Home,L,85-75,202,NR,Q4
Dec 21,Lehigh,Home,W,76-62,295,NR,Q4
Dec 31,Campbell,Home,L,68-65,207,NR,Q4
Jan 3,Towson,Away,W,62-48,176,NR,Q3
Jan 8,William & Mary,Home,W,81-70,114,NR,Q3
Jan 10,Hofstra,Away,L,67-64,102,NR,Q2
Jan 15,Drexel,Home,L,73-51,217,NR,Q4
Jan 19,Northeastern,Home,W,81-68,273,NR,Q4
Jan 22,Hampton,Away,L,65-63,258,NR,Q4
Jan 24,Campbell,Away,W,88-73,207,NR,Q3
Jan 29,North Carolina A&T,Home,W,83-81,,NR,Q4
Jan 31,Hofstra,Home,L,73-57,102,NR,Q3
Feb 5,Stony Brook,Away,W,76-75,212,NR,Q3
Feb 12,Drexel,Away,W,93-73,217,NR,Q3
Feb 15,Towson,Home,W,72-71,176,NR,Q4
Feb 19,UNC Wilmington,Away,TBD,,,NR,Q4
Feb 21,College of Charleston,Away,TBD,,,NR,Q4
Feb 26,Stony Brook,Home,TBD,,212,NR,Q4
Feb 28,Elon,Home,TBD,,192,NR,Q4
Mar 3,Northeastern,Away,TBD,,273,NR,Q4
