date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,West Virginia,Away,L,70-54,54,NR,Q1
Nov 7,Bucknell,Home,L,73-62,333,NR,Q4
Nov 11,Saint Francis (PA),Away,W,74-66,,NR,Q4
Nov 16,Cincinnati,Away,L,72-55,63,NR,Q1
Nov 19,Maryland,Away,L,95-90,151,NR,Q3
Nov 23,Western Michigan,Away,L,83-60,,NR,Q4
Nov 25,Ohio State,Away,L,113-60,38,NR,Q1
Nov 29,Howard,Home,W,79-75,230,NR,Q4
Dec 3,Sacred Heart,Home,L,87-80,297,NR,Q4
Dec 5,Marist,Away,L,64-56,170,NR,Q3
Dec 13,Loyola (MD),Away,W,81-73,,NR,Q4
Dec 19,Drexel,Away,L,75-67,217,NR,Q3
Dec 21,Penn State Brandywine,Home,W,73-42,,NR,Q4
Dec 29,Iona,Home,W,66-59,237,NR,Q4
Jan 2,Merrimack,Away,L,75-65,185,NR,Q3
Jan 4,Quinnipiac,Away,L,80-69,202,NR,Q3
Jan 9,Saint Peter's,Home,W,70-65,226,NR,Q4
Jan 11,Siena,Home,L,67-50,188,NR,Q4
Jan 17,Canisius,Away,W,78-68,348,NR,Q4
Jan 19,Niagara,Away,W,68-58,342,NR,Q4
Jan 22,Quinnipiac,Home,L,77-62,202,NR,Q4
Jan 24,Rider,Home,W,71-61,357,NR,Q4
Jan 30,Saint Peter's,Away,L,66-58,226,NR,Q3
Feb 1,Manhattan,Home,W,72-65,321,NR,Q4
Feb 5,Merrimack,Home,L,87-70,185,NR,Q4
Feb 7,Iona,Away,W,83-76,237,NR,Q3
Feb 13,Rider,Away,W,65-55,357,NR,Q4
Feb 20,Niagara,Home,TBD,,342,NR,Q4
Feb 22,Canisius,Home,TBD,,348,NR,Q4
Feb 27,Sacred Heart,Away,TBD,,297,NR,Q4
Mar 1,Fairfield,Away,TBD,,242,NR,Q4
