date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Omaha,Neutral,W,85-77,249,NR,Q4
Nov 7,Mississippi Valley State,Home,W,108-60,,NR,Q4
Nov 11,Southern Methodist,Away,L,102-91,36,NR,Q1
Nov 15,Nicholls State,Home,W,99-79,,NR,Q4
Nov 18,Little Rock,Home,W,89-68,307,NR,Q4
Nov 23,Middle Tennessee,Neutral,L,90-87,159,NR,Q3
Nov 24,McNeese State,Neutral,L,73-60,56,NR,Q2
Nov 25,George Washington,Neutral,W,96-95,84,NR,Q2
Dec 2,Morehead State,Home,W,84-52,,NR,Q4
Dec 6,Bellarmine,Home,W,81-68,288,NR,Q4
Dec 13,Akron,Neutral,W,115-100,62,NR,Q2
Dec 18,Drake,Home,W,81-72,200,NR,Q4
Dec 21,Valparaiso,Away,W,85-79,163,NR,Q3
Dec 29,Southern Illinois,Home,W,84-81,126,NR,Q3
Jan 1,Illinois-Chicago,Away,W,81-77,,NR,Q4
Jan 4,Bradley,Home,W,86-66,113,NR,Q3
Jan 7,Evansville,Away,W,79-69,292,NR,Q4
Jan 10,Valparaiso,Home,W,92-79,163,NR,Q4
Jan 17,Indiana State,Home,W,85-81,218,NR,Q4
Jan 21,Drake,Away,L,101-90,200,NR,Q3
Jan 24,Northern Iowa,Away,L,81-76,,NR,Q4
Jan 28,Illinois State,Home,L,70-65,,NR,Q4
Jan 31,Belmont,Away,L,103-86,55,NR,Q1
Feb 3,Illinois-Chicago,Home,W,81-74,,NR,Q4
Feb 6,Southern Illinois,Away,W,91-81,126,NR,Q2
Feb 9,Northern Iowa,Home,L,89-60,,NR,Q4
Feb 12,Indiana State,Away,W,74-72,218,NR,Q3
Feb 15,Belmont,Home,L,87-70,55,NR,Q2
Feb 18,Illinois State,Away,TBD,,,NR,Q4
Feb 21,Evansville,Home,TBD,,292,NR,Q4
Mar 1,Bradley,Away,TBD,,113,NR,Q2
