date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,South Carolina,Away,L,91-72,112,NR,Q2
Nov 10,South Carolina State,Home,W,85-62,358,NR,Q4
Nov 13,Washington Adventist,Home,W,89-83,,NR,Q4
Nov 18,Morgan State,Away,W,79-73,,NR,Q4
Nov 28,Davidson,Away,L,90-74,104,NR,Q2
Dec 2,Charlotte,Away,L,74-57,189,NR,Q3
Dec 6,North Carolina Central,Away,W,69-54,340,NR,Q4
Dec 9,Howard,Neutral,L,73-69,230,NR,Q4
Dec 12,Maryland-Eastern Shore,Home,W,82-79,,NR,Q4
Dec 16,UNC Greensboro,Away,W,71-65,294,NR,Q4
Dec 20,Mid-Atlantic Christian,Home,W,95-55,,NR,Q4
Dec 29,UNC Wilmington,Home,L,87-78,,NR,Q4
Dec 31,Northeastern,Home,L,85-74,273,NR,Q4
Jan 3,Stony Brook,Away,L,81-80,212,NR,Q3
Jan 8,Elon,Home,L,69-64,192,NR,Q4
Jan 15,William & Mary,Away,L,97-89,114,NR,Q2
Jan 19,Hampton,Away,L,82-61,258,NR,Q4
Jan 22,Hofstra,Home,W,79-78,102,NR,Q3
Jan 24,Towson,Home,W,80-73,176,NR,Q4
Jan 29,Monmouth,Away,L,83-81,193,NR,Q3
Jan 31,Drexel,Away,L,61-60,217,NR,Q3
Feb 5,College of Charleston,Away,L,78-62,,NR,Q4
Feb 7,Campbell,Home,L,79-71,207,NR,Q4
Feb 13,Hampton,Neutral,W,71-70,258,NR,Q4
Feb 19,College of Charleston,Home,TBD,,,NR,Q4
Feb 21,Elon,Away,TBD,,192,NR,Q3
Feb 26,UNC Wilmington,Away,TBD,,,NR,Q4
Feb 28,William & Mary,Home,TBD,,114,NR,Q3
Mar 3,Campbell,Away,TBD,,207,NR,Q3
