date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Connecticut,Away,L,79-55,10,NR,Q1
Nov 7,Columbia,Home,L,71-53,180,NR,Q4
Nov 8,Penn State,Home,L,87-43,122,NR,Q3
Nov 10,Massachusetts-Lowell,Away,W,73-67,323,NR,Q4
Nov 15,Delaware State,Home,W,65-52,,NR,Q4
Nov 18,Seton Hall,Away,L,68-45,49,NR,Q1
Nov 22,Vermont State–Lyndon,Home,W,122-51,,NR,Q4
Nov 25,Salve Regina,Home,W,78-47,,NR,Q4
Nov 30,Mitchell,Home,W,92-69,,NR,Q4
Dec 6,Boston College,Away,L,67-63,152,NR,Q3
Dec 10,NJIT,Away,L,70-64,301,NR,Q4
Dec 22,Fordham,Away,L,65-47,178,NR,Q3
Dec 29,Vanderbilt,Away,L,96-53,13,NR,Q1
Jan 2,Stonehill,Away,W,70-55,339,NR,Q4
Jan 4,Central Connecticut State,Away,L,72-61,,NR,Q4
Jan 8,Le Moyne,Away,L,73-47,280,NR,Q4
Jan 10,FDU,Home,W,65-55,328,NR,Q4
Jan 17,Wagner,Home,W,80-74,315,NR,Q4
Jan 19,Chicago State,Away,W,62-56,,NR,Q4
Jan 23,Mercyhurst,Home,L,61-57,283,NR,Q4
Jan 29,Mercyhurst,Away,L,70-51,283,NR,Q4
Jan 31,Saint Francis (PA),Away,W,81-69,,NR,Q4
Feb 5,Long Island University,Away,L,60-55,195,NR,Q3
Feb 7,Chicago State,Home,L,63-57,,NR,Q4
Feb 12,Central Connecticut State,Home,L,81-76,,NR,Q4
Feb 14,Long Island University,Home,W,55-52,195,NR,Q4
Feb 19,Stonehill,Home,TBD,,339,NR,Q4
Feb 21,FDU,Away,TBD,,328,NR,Q4
Feb 24,Saint Francis (PA),Home,TBD,,,NR,Q4
Feb 26,Wagner,Away,TBD,,315,NR,Q4
Feb 28,Le Moyne,Home,TBD,,280,NR,Q4
