date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Adams State,Home,W,83-72,,NR,Q4
Nov 11,New Mexico Highlands,Home,W,74-58,,NR,Q4
Nov 15,New Mexico,Home,W,76-68,44,NR,Q2
Nov 21,Samford,Home,W,81-72,210,NR,Q4
Nov 25,UC Irvine,Neutral,W,57-45,120,NR,Q3
Nov 26,Georgia State,Neutral,W,77-58,,NR,Q4
Dec 2,South Alabama,Neutral,L,77-75,168,NR,Q3
Dec 6,Abilene Christian,Away,L,77-69,231,NR,Q3
Dec 13,Tulsa,Neutral,L,83-70,53,NR,Q2
Dec 21,Sam Houston,Home,W,87-78,106,NR,Q3
Dec 28,University of the Southwest,Home,W,104-33,,NR,Q4
Jan 2,Florida International,Away,L,89-74,,NR,Q4
Jan 4,Missouri State,Away,L,89-82,,NR,Q4
Jan 8,Western Kentucky,Home,W,80-64,175,NR,Q4
Jan 10,Middle Tennessee,Home,L,59-55,159,NR,Q3
Jan 15,Liberty,Away,L,73-71,74,NR,Q1
Jan 17,Delaware,Away,W,97-68,267,NR,Q4
Jan 22,Missouri State,Home,L,84-75,,NR,Q4
Jan 24,Florida International,Home,L,81-78,,NR,Q4
Jan 28,Delaware,Home,L,73-64,267,NR,Q4
Jan 31,Kennesaw State,Away,L,76-53,,NR,Q4
Feb 4,Louisiana Tech,Away,W,72-63,247,NR,Q4
Feb 7,UTEP,Away,L,91-88,264,NR,Q4
Feb 11,Liberty,Home,L,77-75,74,NR,Q2
Feb 14,Jacksonville State,Away,W,79-70,,NR,Q4
Feb 21,UTEP,Home,TBD,,264,NR,Q4
Feb 26,Western Kentucky,Away,TBD,,175,NR,Q3
Feb 28,Middle Tennessee,Away,TBD,,159,NR,Q3
Mar 5,Jacksonville State,Home,TBD,,,NR,Q4
Mar 7,Kennesaw State,Home,TBD,,,NR,Q4
