date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Duquesne,Away,L,83-63,117,NR,Q2
Nov 8,Binghamton,Away,W,67-59,362,NR,Q4
Nov 10,Delaware State,Home,W,68-57,,NR,Q4
Nov 17,Le Moyne,Away,L,74-68,280,NR,Q4
Nov 21,Duke,Away,L,100-42,2,NR,Q1
Nov 22,Howard,Neutral,L,80-70,230,NR,Q4
Nov 29,Detroit Mercy,Home,L,70-66,250,NR,Q4
Dec 5,Siena,Away,L,83-54,188,NR,Q3
Dec 7,Saint Peter's,Away,L,71-43,226,NR,Q3
Dec 13,Morgan State,Away,L,81-73,,NR,Q4
Dec 15,Virginia Commonwealth,Away,L,84-58,,NR,Q4
Dec 20,Houghton,Home,W,81-58,,NR,Q4
Jan 2,Sacred Heart,Home,W,64-61,297,NR,Q4
Jan 4,Fairfield,Home,L,83-75,242,NR,Q4
Jan 9,Iona,Away,L,71-53,237,NR,Q3
Jan 11,Manhattan,Away,L,79-70,321,NR,Q4
Jan 14,Canisius,Away,W,59-54,348,NR,Q4
Jan 19,Mount St. Mary's,Home,L,68-58,299,NR,Q4
Jan 22,Fairfield,Away,L,62-61,242,NR,Q4
Jan 24,Sacred Heart,Away,L,71-70,297,NR,Q4
Jan 30,Siena,Home,L,82-79,188,NR,Q4
Feb 1,Marist,Home,L,58-46,170,NR,Q4
Feb 3,Canisius,Home,W,65-56,348,NR,Q4
Feb 7,Quinnipiac,Away,L,56-55,202,NR,Q3
Feb 13,Manhattan,Home,L,76-69,321,NR,Q4
Feb 15,Iona,Home,W,70-68,237,NR,Q4
Feb 20,Mount St. Mary's,Away,TBD,,299,NR,Q4
Feb 22,Rider,Away,TBD,,357,NR,Q4
Feb 27,Quinnipiac,Home,TBD,,202,NR,Q4
Mar 1,Merrimack,Home,TBD,,185,NR,Q4
