date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Louisiana-Monroe,Home,W,102-82,,NR,Q4
Nov 7,Wisconsin,Away,L,97-72,33,NR,Q1
Nov 10,Grand Canyon,Away,L,88-59,76,NR,Q2
Nov 13,Benedictine (IL),Home,W,117-62,,NR,Q4
Nov 18,Northern Iowa,Away,L,70-57,,NR,Q4
Nov 21,Loyola (IL),Away,W,76-59,,NR,Q4
Nov 25,Austin Peay,Away,L,77-59,134,NR,Q2
Nov 29,Bellarmine,Home,TBD,,288,NR,Q4
Dec 2,Lindenwood,Home,L,99-64,240,NR,Q4
Dec 6,Bradley,Away,L,84-55,113,NR,Q2
Dec 13,Elon,Away,L,85-79,192,NR,Q3
Dec 16,East-West,Home,W,112-64,,NR,Q4
Dec 20,Central Michigan,Home,W,74-73,,NR,Q4
Dec 31,Buffalo,Home,L,81-67,177,NR,Q4
Jan 3,Kent State,Away,L,77-73,144,NR,Q3
Jan 6,Toledo,Home,L,75-61,172,NR,Q4
Jan 13,Eastern Michigan,Away,L,77-59,,NR,Q4
Jan 17,Massachusetts,Home,W,70-68,191,NR,Q4
Jan 20,Ohio,Away,L,80-77,213,NR,Q3
Jan 24,Ball State,Away,L,58-53,,NR,Q4
Jan 27,Western Michigan,Home,W,85-65,,NR,Q4
Jan 31,Miami (OH),Away,L,85-61,51,NR,Q1
Feb 7,Georgia State,Away,W,75-74,,NR,Q4
Feb 11,Bowling Green,Home,L,68-52,141,NR,Q3
Feb 14,Central Michigan,Away,L,88-46,,NR,Q4
Feb 17,Buffalo,Away,TBD,,177,NR,Q3
Feb 21,Ohio,Home,TBD,,213,NR,Q4
Feb 24,Toledo,Away,TBD,,172,NR,Q3
Feb 28,Ball State,Home,TBD,,,NR,Q4
Mar 3,Kent State,Home,TBD,,144,NR,Q3
Mar 6,Akron,Away,TBD,,62,NR,Q1
