date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Fordham,Away,W,72-61,178,NR,Q3
Nov 8,Fairfield,Home,L,74-53,242,NR,Q4
Nov 11,Loyola (MD),Away,W,66-64,,NR,Q4
Nov 15,FDU,Home,W,93-81,328,NR,Q4
Nov 18,Drexel,Away,L,75-43,217,NR,Q3
Nov 22,Navy,Away,L,86-70,150,NR,Q3
Nov 24,Cincinnati,Away,L,94-67,63,NR,Q1
Nov 26,Louisville,Away,L,104-47,12,NR,Q1
Nov 28,Eastern Michigan,Away,L,73-55,,NR,Q4
Dec 5,High Point,Away,L,89-72,75,NR,Q1
Dec 10,New Haven,Home,W,70-64,329,NR,Q4
Dec 13,Sacred Heart,Home,L,65-49,297,NR,Q4
Dec 22,Butler,Away,L,101-52,80,NR,Q2
Dec 29,SUNY Canton,Home,W,95-60,,NR,Q4
Dec 31,Pennsylvania,Away,L,80-61,,NR,Q4
Jan 3,Binghamton,Away,W,73-65,362,NR,Q4
Jan 8,New Hampshire,Home,W,80-76,334,NR,Q4
Jan 10,Maine,Home,L,74-70,343,NR,Q4
Jan 15,Massachusetts-Lowell,Away,W,73-64,323,NR,Q4
Jan 19,Bryant,Home,W,79-55,352,NR,Q4
Jan 22,Maryland-Baltimore County,Away,L,87-74,,NR,Q4
Jan 29,Albany (NY),Away,W,77-68,,NR,Q4
Jan 31,Vermont,Away,W,79-77,215,NR,Q3
Feb 5,Massachusetts-Lowell,Home,W,81-56,323,NR,Q4
Feb 7,Binghamton,Home,W,73-64,362,NR,Q4
Feb 12,New Hampshire,Away,W,76-70,334,NR,Q4
Feb 14,Maine,Away,W,67-58,343,NR,Q4
Feb 19,Albany (NY),Home,TBD,,,NR,Q4
Feb 21,Vermont,Home,TBD,,215,NR,Q4
Feb 28,Bryant,Away,TBD,,352,NR,Q4
Mar 3,Maryland-Baltimore County,Home,TBD,,,NR,Q4
