date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,Mississippi State,Away,L,86-62,94,NR,Q2
Nov 7,Lane,Home,W,90-84,,NR,Q4
Nov 11,Northwestern State,Home,W,87-83,,NR,Q4
Nov 15,East Tennessee State,Home,L,78-74,129,NR,Q3
Nov 17,Clemson,Away,L,81-61,31,NR,Q1
Nov 22,Chattanooga,Away,L,71-57,300,NR,Q4
Nov 25,Tennessee-Southern,Home,W,92-60,,NR,Q4
Dec 1,Jacksonville State,Away,W,73-66,,NR,Q4
Dec 3,San Francisco,Away,W,65-63,118,NR,Q2
Dec 15,Alabama A&M,Away,L,68-60,311,NR,Q4
Dec 19,Loyola Marymount,Away,L,91-57,,NR,Q4
Jan 1,Stetson,Home,L,70-67,325,NR,Q4
Jan 3,Florida Gulf Coast,Home,L,72-55,257,NR,Q4
Jan 8,Eastern Kentucky,Away,L,88-80,281,NR,Q4
Jan 10,Bellarmine,Away,W,82-73,288,NR,Q4
Jan 15,North Florida,Home,L,105-91,337,NR,Q4
Jan 17,Jacksonville,Home,L,90-68,306,NR,Q4
Jan 21,Queens (NC),Away,L,87-62,205,NR,Q3
Jan 29,Florida Gulf Coast,Away,L,72-64,257,NR,Q4
Jan 31,Stetson,Away,W,68-66,325,NR,Q4
Feb 4,Central Arkansas,Away,L,81-60,181,NR,Q3
Feb 7,Austin Peay,Away,L,91-62,134,NR,Q2
Feb 9,Central Arkansas,Home,L,72-65,181,NR,Q4
Feb 11,West Georgia,Home,L,82-73,,NR,Q4
Feb 15,Eastern Kentucky,Home,W,84-78,281,NR,Q4
Feb 18,Queens (NC),Home,TBD,,205,NR,Q4
Feb 21,Lipscomb,Away,TBD,,186,NR,Q3
Feb 25,Bellarmine,Home,TBD,,288,NR,Q4
Feb 28,West Georgia,Away,TBD,,,NR,Q4
