date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Central Arkansas,Home,W,94-54,181,NR,Q4
Nov 7,Kansas,Home,W,87-74,14,NR,Q1
Nov 11,Radford,Home,W,89-74,240,NR,Q4
Nov 14,North Carolina Central,Home,W,97-53,339,NR,Q4
Nov 18,Navy,Home,W,73-61,151,NR,Q3
Nov 25,St. Bonaventure,Neutral,W,85-70,145,NR,Q3
Nov 27,Michigan State,Neutral,L,74-58,15,NR,Q1
Dec 2,Kentucky,Away,W,67-64,28,NR,Q1
Dec 7,Georgetown,Home,W,81-61,91,NR,Q3
Dec 13,South Carolina Upstate,Home,W,80-62,293,NR,Q4
Dec 16,East Tennessee State,Home,W,77-58,127,NR,Q3
Dec 20,Ohio State,Neutral,W,71-70,38,NR,Q1
Dec 22,East Carolina,Home,W,99-51,269,NR,Q4
Dec 30,Florida State,Home,W,79-66,82,NR,Q3
Jan 3,Southern Methodist,Away,L,97-83,36,NR,Q1
Jan 10,Wake Forest,Home,W,87-84,64,NR,Q2
Jan 14,Stanford,Away,L,95-90,70,NR,Q1
Jan 17,California,Away,L,84-78,60,NR,Q1
Jan 21,Notre Dame,Home,W,91-69,87,NR,Q3
Jan 24,Virginia,Away,W,85-80,19,NR,Q1
Jan 31,Georgia Tech,Away,W,91-75,163,NR,Q3
Feb 2,Syracuse,Home,W,87-77,69,NR,Q2
Feb 7,Duke,Home,W,71-68,2,NR,Q1
Feb 10,Miami (FL),Away,L,75-66,35,NR,Q1
Feb 14,Pittsburgh,Home,W,79-65,122,NR,Q3
Feb 17,NC State,Away,TBD,,29,NR,Q1
Feb 21,Syracuse,Away,TBD,,69,NR,Q1
Feb 23,Louisville,Home,TBD,,12,NR,Q1
Feb 28,Virginia Tech,Home,TBD,,56,NR,Q2
Mar 3,Clemson,Home,TBD,,32,NR,Q2
Mar 7,Duke,Away,TBD,,2,NR,Q1
