date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Oregon State,Away,L,67-65,184,NR,Q3
Nov 5,UC Davis,Away,L,80-68,166,NR,Q3
Nov 11,Cal State Northridge,Home,W,90-68,,NR,Q4
Nov 12,St. Scholastica,Home,W,111-38,,NR,Q4
Nov 17,Southern Illinois,Home,W,92-85,126,NR,Q3
Nov 19,Jamestown,Home,W,82-67,,NR,Q4
Nov 26,Jacksonville State,Neutral,W,56-43,,NR,Q4
Nov 28,Arkansas State,Away,L,85-80,,NR,Q4
Dec 3,Montana,Away,W,81-72,182,NR,Q3
Dec 6,Northern Arizona,Home,W,69-68,302,NR,Q4
Dec 11,Cal State Bakersfield,Away,W,80-69,,NR,Q4
Dec 13,Drake,Away,W,99-94,200,NR,Q3
Dec 15,Minnesota-Crookston,Home,W,101-67,,NR,Q4
Dec 21,UC Irvine,Neutral,L,74-73,120,NR,Q3
Dec 22,UTEP,Away,L,76-66,264,NR,Q4
Dec 31,South Dakota,Home,W,84-61,276,NR,Q4
Jan 3,Oral Roberts,Home,W,79-77,335,NR,Q4
Jan 8,Kansas City,Away,W,97-73,355,NR,Q4
Jan 10,Omaha,Away,W,78-76,249,NR,Q4
Jan 14,South Dakota State,Home,W,76-65,204,NR,Q4
Jan 17,St. Thomas,Home,W,68-65,,NR,Q4
Jan 22,Denver,Away,W,82-77,233,NR,Q3
Jan 24,Oral Roberts,Away,W,86-58,335,NR,Q4
Jan 31,South Dakota,Away,W,89-84,276,NR,Q4
Feb 5,Denver,Home,L,78-71,233,NR,Q4
Feb 7,Omaha,Home,W,92-84,249,NR,Q4
Feb 14,North Dakota,Away,W,83-66,274,NR,Q4
Feb 18,South Dakota State,Away,TBD,,204,NR,Q3
Feb 21,Kansas City,Home,TBD,,355,NR,Q4
Feb 26,St. Thomas,Away,TBD,,,NR,Q4
Feb 28,North Dakota,Home,TBD,,274,NR,Q4
