date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Alabama,Away,L,91-62,21,NR,Q1
Nov 6,UC Riverside,Home,L,74-70,291,NR,Q4
Nov 9,Cal State Northridge,Home,L,93-85,,NR,Q4
Nov 11,Mayville State,Home,W,128-58,,NR,Q4
Nov 15,UC Riverside,Away,W,76-74,291,NR,Q4
Nov 19,Creighton,Away,L,75-60,81,NR,Q2
Nov 22,Coastal Carolina,Neutral,L,75-58,221,NR,Q4
Nov 23,Western Illinois,Away,W,78-69,,NR,Q4
Nov 29,Hawaii,Away,L,92-55,98,NR,Q2
Dec 3,Idaho,Away,L,90-58,167,NR,Q3
Dec 6,Montana,Home,L,79-75,182,NR,Q4
Dec 10,Crown (MN),Home,W,89-43,,NR,Q4
Dec 13,Western Illinois,Home,L,69-66,,NR,Q4
Dec 18,Winthrop,Home,W,90-88,121,NR,Q3
Dec 21,Nebraska,Away,L,78-55,11,NR,Q1
Dec 28,Dakota State,Home,W,88-56,,NR,Q4
Jan 1,Oral Roberts,Home,W,72-61,335,NR,Q4
Jan 3,South Dakota State,Home,W,90-87,204,NR,Q4
Jan 8,Omaha,Away,L,90-79,249,NR,Q4
Jan 10,Kansas City,Away,W,81-79,355,NR,Q4
Jan 15,St. Thomas,Home,L,91-80,,NR,Q4
Jan 17,South Dakota,Home,W,96-80,276,NR,Q4
Jan 22,Oral Roberts,Away,W,79-62,335,NR,Q4
Jan 24,Denver,Away,W,93-86,233,NR,Q3
Jan 29,St. Thomas,Away,W,81-80,,NR,Q4
Feb 5,Omaha,Home,W,76-73,249,NR,Q4
Feb 7,Denver,Home,L,98-79,233,NR,Q4
Feb 11,South Dakota,Away,W,72-71,276,NR,Q4
Feb 14,North Dakota State,Home,L,83-66,,NR,Q4
Feb 19,Kansas City,Home,TBD,,355,NR,Q4
Feb 21,South Dakota State,Away,TBD,,204,NR,Q3
Feb 28,North Dakota State,Away,TBD,,,NR,Q4
