date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,New Mexico Highlands,Home,W,88-54,,NR,Q4
Nov 6,Northwestern State,Home,W,80-53,,NR,Q4
Nov 9,Loyola (IL),Neutral,W,64-62,,NR,Q4
Nov 12,Oregon State,Away,L,66-64,184,NR,Q3
Nov 14,Saint Mary's (CA),Away,L,80-49,26,NR,Q1
Nov 20,Central Arkansas,Home,W,74-56,181,NR,Q4
Nov 25,Eastern Washington,Home,W,79-71,,NR,Q4
Nov 30,Prairie View,Home,W,72-69,330,NR,Q4
Dec 2,Houston Christian,Home,W,77-75,298,NR,Q4
Dec 7,TCU,Home,L,65-55,45,NR,Q2
Dec 14,South Alabama,Away,W,58-57,168,NR,Q3
Dec 17,Santa Clara,Neutral,L,63-60,42,NR,Q1
Dec 22,Science and Arts of Oklahoma,Home,W,109-56,,NR,Q4
Dec 31,Memphis,Away,L,57-48,105,NR,Q2
Jan 4,Tulsa,Home,W,72-67,53,NR,Q2
Jan 7,South Florida,Home,L,74-70,,NR,Q4
Jan 11,Wichita State,Away,L,78-67,,NR,Q4
Jan 18,Tulane,Away,W,71-63,190,NR,Q3
Jan 21,UTSA,Home,W,81-62,341,NR,Q4
Jan 23,East Carolina,Home,L,63-59,269,NR,Q4
Jan 28,Tulsa,Away,L,82-66,53,NR,Q1
Jan 31,UAB,Home,L,72-68,119,NR,Q3
Feb 4,Rice,Away,L,86-83,248,NR,Q4
Feb 7,UTSA,Away,W,81-58,341,NR,Q4
Feb 12,Memphis,Home,W,76-69,105,NR,Q3
Feb 15,Temple,Away,W,65-62,162,NR,Q3
Feb 25,Charlotte,Away,TBD,,189,NR,Q3
Mar 1,UAB,Away,TBD,,119,NR,Q2
Mar 4,Rice,Home,TBD,,248,NR,Q4
