date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Drake,Neutral,L,77-71,200,NR,Q3
Nov 7,Justice College,Home,W,87-55,,NR,Q4
Nov 11,Arizona,Away,L,84-49,3,NR,Q1
Nov 18,Embry–Riddle (AZ),Home,W,108-79,,NR,Q4
Nov 24,Cal Poly,Home,W,93-87,238,NR,Q4
Nov 26,Southeast Missouri State,Home,W,79-72,,NR,Q4
Dec 3,South Dakota State,Home,L,75-62,204,NR,Q4
Dec 6,North Dakota State,Away,L,69-68,,NR,Q4
Dec 9,Arizona State,Away,L,73-48,71,NR,Q1
Dec 13,San Diego,Away,L,78-69,223,NR,Q3
Dec 18,Southern Utah,Home,W,65-57,282,NR,Q4
Dec 21,Incarnate Word,Away,L,90-66,,NR,Q4
Dec 29,Benedictine (AZ),Home,W,112-60,,NR,Q4
Jan 1,Montana,Away,L,78-64,182,NR,Q3
Jan 3,Montana State,Away,L,77-68,,NR,Q4
Jan 8,Weber State,Home,L,78-65,,NR,Q4
Jan 10,Idaho State,Home,L,81-79,,NR,Q4
Jan 15,Sacramento State,Away,L,83-69,,NR,Q4
Jan 17,Portland State,Away,L,63-52,,NR,Q4
Jan 19,Montana,Home,L,98-72,182,NR,Q4
Jan 24,Northern Colorado,Home,W,81-77,,NR,Q4
Jan 29,Eastern Washington,Home,W,92-86,,NR,Q4
Jan 31,Idaho,Home,L,79-62,167,NR,Q4
Feb 5,Idaho State,Away,W,79-73,,NR,Q4
Feb 7,Weber State,Away,L,72-53,,NR,Q4
Feb 12,Portland State,Home,L,77-68,,NR,Q4
Feb 14,Sacramento State,Home,W,79-74,,NR,Q4
Feb 21,Northern Colorado,Away,TBD,,,NR,Q4
Feb 26,Idaho,Away,TBD,,167,NR,Q3
Feb 28,Eastern Washington,Away,TBD,,,NR,Q4
Mar 2,Montana State,Home,TBD,,,NR,Q4
