date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Colorado College,Home,W,91-57,73,NR,Q2
Nov 7,Colorado Christian,Home,W,101-65,,NR,Q4
Nov 15,Pepperdine,Away,W,88-81,284,NR,Q4
Nov 21,St. Thomas,Neutral,L,73-72,,NR,Q4
Nov 22,Portland,Away,W,86-80,208,NR,Q3
Nov 23,Cal State Fullerton,Neutral,W,97-93,,NR,Q4
Nov 26,Air Force,Away,W,71-53,346,NR,Q4
Nov 29,Regis (CO),Home,W,104-63,,NR,Q4
Dec 3,Omaha,Away,W,75-70,249,NR,Q4
Dec 6,South Dakota,Home,W,89-87,276,NR,Q4
Dec 16,Texas Tech,Away,L,101-90,16,NR,Q1
Dec 20,Denver,Home,L,86-79,233,NR,Q4
Dec 28,Colorado,Away,W,86-81,73,NR,Q1
Jan 1,Montana State,Away,L,89-75,,NR,Q4
Jan 3,Montana,Away,L,88-79,182,NR,Q3
Jan 8,Idaho State,Home,W,85-72,,NR,Q4
Jan 10,Weber State,Home,L,76-71,,NR,Q4
Jan 15,Portland State,Away,L,76-73,,NR,Q4
Jan 17,Sacramento State,Away,L,93-89,,NR,Q4
Jan 19,Montana State,Home,L,73-68,,NR,Q4
Jan 24,Northern Arizona,Away,L,81-77,302,NR,Q4
Jan 29,Idaho,Home,W,91-83,167,NR,Q4
Jan 31,Eastern Washington,Home,W,74-71,,NR,Q4
Feb 5,Weber State,Away,W,88-74,,NR,Q4
Feb 7,Idaho State,Away,W,69-61,,NR,Q4
Feb 12,Sacramento State,Home,W,95-79,,NR,Q4
Feb 14,Portland State,Home,W,77-65,,NR,Q4
Feb 21,Northern Arizona,Home,TBD,,302,NR,Q4
Feb 26,Eastern Washington,Away,TBD,,,NR,Q4
Feb 28,Idaho,Away,TBD,,167,NR,Q3
Mar 2,Montana,Home,TBD,,182,NR,Q4
