date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Cincinnati-Clermont,Home,W,126-69,,NR,Q4
Nov 8,Tennessee,Away,L,95-56,22,NR,Q1
Nov 12,East Tennessee State,Away,L,75-63,129,NR,Q2
Nov 16,Cumberlands (KY),Home,W,101-73,,NR,Q4
Nov 20,Central Michigan,Away,W,90-66,,NR,Q4
Nov 24,Eastern Kentucky,Home,W,82-71,281,NR,Q4
Nov 26,Wofford,Home,W,93-83,229,NR,Q4
Nov 29,Boston University,Home,W,74-65,152,NR,Q3
Dec 3,Cleveland State,Home,W,95-80,,NR,Q4
Dec 6,Purdue Fort Wayne,Away,L,79-77,253,NR,Q4
Dec 9,Brescia,Home,W,92-53,,NR,Q4
Dec 13,Bellarmine,Away,W,80-76,288,NR,Q4
Dec 17,Oakland,Home,L,82-77,154,NR,Q3
Dec 21,College of Charleston,Home,L,85-74,,NR,Q4
Dec 29,Robert Morris,Away,W,79-77,161,NR,Q3
Jan 1,IU Indy,Home,W,81-72,313,NR,Q4
Jan 4,Youngstown State,Home,W,94-79,,NR,Q4
Jan 9,Milwaukee,Away,W,85-67,246,NR,Q4
Jan 11,Green Bay,Away,L,80-78,224,NR,Q3
Jan 15,Detroit Mercy,Home,W,96-71,250,NR,Q4
Jan 17,Robert Morris,Home,L,92-89,161,NR,Q4
Jan 24,Wright State,Away,L,88-80,,NR,Q4
Jan 30,Detroit Mercy,Away,L,90-77,250,NR,Q4
Feb 1,Oakland,Away,L,76-65,154,NR,Q3
Feb 4,Green Bay,Home,L,87-84,224,NR,Q4
Feb 7,Milwaukee,Home,W,67-62,246,NR,Q4
Feb 12,IU Indy,Away,W,84-81,313,NR,Q4
Feb 18,Purdue Fort Wayne,Home,TBD,,253,NR,Q4
Feb 21,Youngstown State,Away,TBD,,,NR,Q4
Feb 25,Cleveland State,Away,TBD,,,NR,Q4
Feb 28,Wright State,Home,TBD,,,NR,Q4
