date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Long Island University,Home,W,89-67,195,NR,Q4
Nov 7,Detroit Mercy,Home,W,102-70,250,NR,Q4
Nov 11,Eastern Illinois,Home,W,78-58,317,NR,Q4
Nov 16,Ohio State,Away,L,64-63,38,NR,Q1
Nov 19,Bellarmine,Home,W,86-79,288,NR,Q4
Nov 24,Kansas,Neutral,L,71-61,14,NR,Q1
Nov 25,Rutgers,Neutral,W,68-63,155,NR,Q3
Nov 26,Houston,Neutral,L,66-56,4,NR,Q1
Dec 2,Missouri,Home,W,76-71,66,NR,Q2
Dec 5,TCU,Away,W,87-85,45,NR,Q1
Dec 10,Idaho,Home,W,80-65,167,NR,Q4
Dec 13,Evansville,Home,W,82-58,292,NR,Q4
Dec 21,Purdue Fort Wayne,Home,L,72-69,253,NR,Q4
Dec 30,Stanford,Away,W,47-40,70,NR,Q1
Jan 2,California,Away,L,72-71,61,NR,Q1
Jan 10,Clemson,Home,L,76-61,31,NR,Q2
Jan 13,Miami (FL),Home,L,81-69,35,NR,Q2
Jan 17,Virginia Tech,Away,L,89-76,58,NR,Q1
Jan 21,North Carolina,Away,L,91-69,25,NR,Q1
Jan 24,Boston College,Home,W,68-64,152,NR,Q3
Jan 27,Virginia,Home,L,100-97,19,NR,Q1
Jan 31,Syracuse,Away,L,86-72,69,NR,Q1
Feb 4,Louisville,Away,L,76-65,12,NR,Q1
Feb 7,Florida State,Home,L,82-79,82,NR,Q3
Feb 10,Southern Methodist,Away,L,89-81,36,NR,Q1
Feb 14,Georgia Tech,Home,W,89-74,165,NR,Q4
Feb 21,Pittsburgh,Away,TBD,,124,NR,Q2
Feb 24,Duke,Home,TBD,,2,NR,Q1
Feb 28,NC State,Home,TBD,,29,NR,Q1
Mar 4,Stanford,Home,TBD,,70,NR,Q2
Mar 7,Boston College,Away,TBD,,152,NR,Q3
