date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,IU Indy,Home,W,118-102,313,NR,Q4
Nov 7,Purdue Fort Wayne,Home,W,94-68,249,NR,Q4
Nov 11,Appalachian State,Home,W,75-53,,NR,Q4
Nov 16,Notre Dame,Home,W,64-63,87,NR,Q3
Nov 20,Western Michigan,Home,W,91-58,,NR,Q4
Nov 25,Mount St. Mary's,Home,W,113-60,299,NR,Q4
Nov 28,Pittsburgh,Away,L,67-66,122,NR,Q2
Dec 6,Northwestern,Away,W,86-82,78,NR,Q2
Dec 9,Illinois,Home,L,88-80,7,NR,Q1
Dec 13,West Virginia,Neutral,W,89-88,54,NR,Q2
Dec 20,North Carolina,Neutral,L,71-70,25,NR,Q1
Dec 23,Grambling,Home,W,89-63,276,NR,Q4
Jan 2,Rutgers,Away,W,80-73,165,NR,Q3
Jan 5,Nebraska,Home,L,72-69,11,NR,Q1
Jan 8,Oregon,Away,W,72-62,107,NR,Q2
Jan 11,Washington,Away,L,81-74,52,NR,Q1
Jan 17,UCLA,Home,W,86-74,40,NR,Q2
Jan 20,Minnesota,Home,W,82-74,86,NR,Q3
Jan 23,Michigan,Away,L,74-62,1,NR,Q1
Jan 26,Penn State,Home,W,84-78,120,NR,Q3
Jan 31,Wisconsin,Away,L,92-82,33,NR,Q1
Feb 5,Maryland,Away,W,82-62,149,NR,Q3
Feb 8,Michigan,Home,L,82-61,1,NR,Q1
Feb 11,Southern California,Home,W,89-82,48,NR,Q2
Feb 14,Virginia,Neutral,L,70-66,19,NR,Q1
Feb 17,Wisconsin,Home,TBD,,33,NR,Q2
Feb 22,Michigan State,Away,TBD,,15,NR,Q1
Feb 25,Iowa,Away,TBD,,27,NR,Q1
Mar 1,Purdue,Home,TBD,,5,NR,Q1
Mar 4,Penn State,Away,TBD,,120,NR,Q2
Mar 7,Indiana,Home,TBD,,31,NR,Q2
