date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Arkansas State,Home,L,89-85,,NR,Q4
Nov 6,Illinois State,Home,W,72-68,,NR,Q4
Nov 11,Saint Mary's (CA),Away,L,90-60,26,NR,Q1
Nov 15,Louisville,Away,L,106-81,12,NR,Q1
Nov 19,Bethune-Cookman,Home,L,76-73,251,NR,Q4
Nov 24,George Mason,Neutral,L,92-69,91,NR,Q2
Nov 25,Loyola Marymount,Neutral,L,70-58,,NR,Q4
Dec 3,Maine,Home,W,79-57,343,NR,Q4
Dec 6,Marshall,Home,W,88-81,149,NR,Q3
Dec 13,St. Bonaventure,Neutral,W,88-83,145,NR,Q3
Dec 16,Ohio Wesleyan,Home,W,89-56,,NR,Q4
Dec 20,Bowling Green,Home,L,68-58,141,NR,Q3
Dec 22,Miami-Hamilton,Home,W,102-59,,NR,Q4
Dec 30,Central Michigan,Away,W,80-64,,NR,Q4
Jan 3,Eastern Michigan,Away,W,68-67,,NR,Q4
Jan 6,Massachusetts,Home,W,86-83,191,NR,Q4
Jan 10,Buffalo,Home,W,91-80,177,NR,Q4
Jan 13,Toledo,Away,L,101-85,172,NR,Q3
Jan 16,Ball State,Away,L,76-71,,NR,Q4
Jan 20,Northern Illinois,Home,W,80-77,,NR,Q4
Jan 23,Akron,Home,L,86-65,62,NR,Q2
Jan 27,Kent State,Away,L,72-57,144,NR,Q3
Jan 31,Buffalo,Away,W,95-83,177,NR,Q3
Feb 3,Western Michigan,Home,W,91-71,,NR,Q4
Feb 7,Old Dominion,Away,L,78-72,256,NR,Q4
Feb 13,Miami (OH),Away,L,90-74,51,NR,Q1
Feb 17,Ball State,Home,TBD,,,NR,Q4
Feb 21,Northern Illinois,Away,TBD,,,NR,Q4
Feb 28,Toledo,Home,TBD,,172,NR,Q4
Mar 3,Massachusetts,Away,TBD,,191,NR,Q3
Mar 6,Miami (OH),Home,TBD,,51,NR,Q2
