date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Southeastern Louisiana,Home,W,88-58,,NR,Q4
Nov 7,Louisiana-Monroe,Home,W,86-65,,NR,Q4
Nov 11,Memphis,Home,W,83-77,105,NR,Q3
Nov 14,Cal State Bakersfield,Home,W,82-60,,NR,Q4
Nov 18,Austin Peay,Home,W,72-65,134,NR,Q3
Nov 25,Iowa,Neutral,L,74-69,27,NR,Q1
Nov 27,Utah,Neutral,L,75-74,128,NR,Q3
Dec 2,Miami (FL),Home,L,75-66,35,NR,Q2
Dec 6,St. John's (NY),Away,L,63-58,24,NR,Q1
Dec 13,Southern Mississippi,Neutral,W,71-67,,NR,Q4
Dec 17,Alabama A&M,Neutral,W,80-66,311,NR,Q4
Dec 21,NC State,Neutral,L,76-62,29,NR,Q1
Dec 29,Alcorn State,Home,W,79-43,,NR,Q4
Jan 3,Oklahoma,Away,L,86-70,68,NR,Q1
Jan 7,Arkansas,Home,L,94-87,18,NR,Q1
Jan 10,Missouri,Home,W,76-69,66,NR,Q2
Jan 14,Georgia,Away,W,97-95,39,NR,Q1
Jan 17,Mississippi State,Away,W,68-67,94,NR,Q2
Jan 20,Auburn,Home,L,78-66,32,NR,Q2
Jan 24,Kentucky,Away,L,72-63,28,NR,Q1
Jan 31,Vanderbilt,Away,L,71-68,13,NR,Q1
Feb 3,Tennessee,Away,L,84-66,22,NR,Q1
Feb 7,Texas,Away,L,79-68,37,NR,Q1
Feb 11,Alabama,Home,L,93-74,21,NR,Q1
Feb 14,Mississippi State,Home,L,90-78,94,NR,Q3
Feb 18,Texas A&M,Away,TBD,,43,NR,Q1
Feb 21,Florida,Home,TBD,,9,NR,Q1
Feb 25,Louisiana State,Home,TBD,,67,NR,Q2
Feb 28,Auburn,Away,TBD,,32,NR,Q1
Mar 3,Vanderbilt,Home,TBD,,13,NR,Q1
Mar 7,South Carolina,Home,TBD,,112,NR,Q3
