date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,North Dakota State,Home,W,67-65,,NR,Q4
Nov 7,Illinois-Chicago,Home,W,76-73,,NR,Q4
Nov 12,North Texas,Home,W,66-64,148,NR,Q3
Nov 17,Oregon,Away,L,87-75,107,NR,Q2
Nov 21,Evansville,Neutral,L,73-69,292,NR,Q4
Nov 22,Iona,Neutral,L,91-84,237,NR,Q4
Nov 24,Massachusetts,Neutral,L,73-65,191,NR,Q3
Nov 29,California Baptist,Home,L,75-69,109,NR,Q3
Dec 3,Vermont,Home,W,80-58,215,NR,Q4
Dec 6,Southern Utah,Home,W,81-70,282,NR,Q4
Dec 13,Montana State,Home,W,67-57,,NR,Q4
Dec 17,Sam Houston,Home,L,85-75,106,NR,Q3
Dec 21,Arizona State,Away,W,78-75,71,NR,Q1
Dec 28,Santa Clara,Home,L,102-64,42,NR,Q2
Dec 30,San Francisco,Home,W,70-62,118,NR,Q3
Jan 2,Pacific,Away,L,84-53,103,NR,Q2
Jan 4,Washington State,Away,L,81-67,135,NR,Q2
Jan 8,Seattle,Home,W,68-55,,NR,Q4
Jan 10,Portland,Away,L,82-76,208,NR,Q3
Jan 14,Loyola Marymount,Home,W,76-70,,NR,Q4
Jan 17,Pacific,Home,L,81-64,103,NR,Q3
Jan 21,Saint Mary's (CA),Away,L,81-51,26,NR,Q1
Jan 28,Loyola Marymount,Away,W,72-69,,NR,Q4
Jan 31,San Diego,Away,W,78-76,223,NR,Q3
Feb 4,Washington State,Home,W,74-64,135,NR,Q3
Feb 7,Gonzaga,Home,L,81-61,6,NR,Q1
Feb 12,San Francisco,Away,W,90-63,118,NR,Q2
Feb 15,Seattle,Away,L,60-50,,NR,Q4
Feb 21,Pepperdine,Home,TBD,,284,NR,Q4
Feb 25,San Diego,Home,TBD,,223,NR,Q4
Feb 28,Santa Clara,Away,TBD,,42,NR,Q1
