date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,Life Pacific,Home,W,83-56,,NR,Q4
Nov 8,Nevada,Away,L,78-77,59,NR,Q1
Nov 12,Long Beach State,Home,W,69-66,,NR,Q4
Nov 15,Cal State Fullerton,Away,W,85-73,,NR,Q4
Nov 20,Florida Atlantic,Away,L,82-59,,NR,Q4
Nov 24,Stony Brook,Neutral,W,86-58,212,NR,Q4
Nov 25,Jacksonville,Neutral,W,68-53,306,NR,Q4
Nov 29,Sacramento State,Home,W,68-54,,NR,Q4
Dec 3,Air Force,Away,W,80-65,346,NR,Q4
Dec 6,California,Away,L,67-61,61,NR,Q1
Dec 13,Simpson (CA),Home,W,104-50,,NR,Q4
Dec 16,Brigham Young,Away,L,93-57,20,NR,Q1
Dec 21,Nicholls State,Home,W,95-82,,NR,Q4
Dec 28,San Diego,Away,L,66-54,223,NR,Q3
Dec 30,Loyola Marymount,Away,L,80-71,,NR,Q4
Jan 2,Oregon State,Home,W,84-53,184,NR,Q4
Jan 4,Pepperdine,Home,W,74-69,284,NR,Q4
Jan 8,Portland,Away,L,90-89,208,NR,Q3
Jan 10,San Diego,Home,W,77-70,223,NR,Q4
Jan 14,Santa Clara,Away,L,85-69,42,NR,Q1
Jan 17,Oregon State,Away,W,81-64,184,NR,Q3
Jan 24,Seattle,Home,W,56-54,,NR,Q4
Jan 28,Portland,Home,W,74-51,208,NR,Q4
Jan 31,San Francisco,Away,L,87-82,118,NR,Q2
Feb 4,Santa Clara,Home,L,71-56,42,NR,Q2
Feb 7,Pepperdine,Away,W,92-59,284,NR,Q4
Feb 11,Loyola Marymount,Home,W,65-59,,NR,Q4
Feb 14,Saint Mary's (CA),Home,L,72-61,26,NR,Q1
Feb 18,Washington State,Away,TBD,,135,NR,Q2
Feb 21,Gonzaga,Away,TBD,,6,NR,Q1
Feb 28,San Francisco,Home,TBD,,118,NR,Q3
