date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Life Pacific,Home,W,88-80,,NR,Q4
Nov 7,UCLA,Away,L,74-63,40,NR,Q1
Nov 11,Lincoln (CA),Home,W,113-76,,NR,Q4
Nov 15,Northern Colorado,Home,L,88-81,,NR,Q4
Nov 18,New Orleans,Home,W,90-79,222,NR,Q4
Nov 21,Stephen F. Austin,Home,L,63-60,,NR,Q4
Nov 26,Fresno State,Neutral,L,76-53,137,NR,Q3
Nov 29,Cal State Fullerton,Away,L,83-69,,NR,Q4
Dec 2,Abilene Christian,Home,L,71-63,231,NR,Q4
Dec 6,Vermont,Home,L,65-56,215,NR,Q4
Dec 13,Cal State Bakersfield,Away,W,70-62,,NR,Q4
Dec 18,Long Beach State,Away,L,81-78,,NR,Q4
Dec 20,Rice,Home,W,84-62,248,NR,Q4
Dec 28,Gonzaga,Home,L,96-56,6,NR,Q1
Dec 30,Saint Mary's (CA),Home,L,72-45,26,NR,Q1
Jan 2,Santa Clara,Away,L,82-63,42,NR,Q1
Jan 4,Pacific,Away,L,74-69,103,NR,Q2
Jan 8,San Diego,Away,L,83-63,223,NR,Q3
Jan 10,San Francisco,Home,L,80-60,118,NR,Q3
Jan 14,Portland,Home,W,67-63,208,NR,Q4
Jan 21,Gonzaga,Away,L,84-60,6,NR,Q1
Jan 24,Washington State,Away,L,95-79,135,NR,Q2
Jan 28,San Diego,Home,L,92-88,223,NR,Q4
Feb 4,Seattle,Away,L,83-81,,NR,Q4
Feb 7,Pacific,Home,L,92-59,103,NR,Q3
Feb 11,Saint Mary's (CA),Away,L,88-60,26,NR,Q1
Feb 14,Loyola Marymount,Home,W,90-89,,NR,Q4
Feb 18,Portland,Away,TBD,,208,NR,Q3
Feb 21,Oregon State,Away,TBD,,184,NR,Q3
Feb 25,Seattle,Home,TBD,,,NR,Q4
Feb 28,Washington State,Home,TBD,,135,NR,Q3
