date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Stanford,Away,L,89-79,70,NR,Q1
Nov 7,Northwest Indian,Home,W,122-74,,NR,Q4
Nov 12,San Francisco,Away,L,80-70,118,NR,Q2
Nov 17,Cal State Bakersfield,Home,W,93-80,,NR,Q4
Nov 19,Evergreen State,Home,W,90-61,,NR,Q4
Nov 25,Utah Tech,Away,W,68-63,156,NR,Q3
Dec 3,South Dakota,Away,W,77-71,276,NR,Q4
Dec 6,Omaha,Home,L,60-55,249,NR,Q4
Dec 13,George Fox,Home,W,94-50,,NR,Q4
Dec 17,Colorado,Away,L,84-73,73,NR,Q1
Dec 20,Tulane,Away,L,63-61,190,NR,Q3
Jan 1,Weber State,Away,W,95-90,,NR,Q4
Jan 3,Idaho State,Away,W,93-87,,NR,Q4
Jan 10,Sacramento State,Home,W,96-69,,NR,Q4
Jan 15,Northern Colorado,Home,W,76-73,,NR,Q4
Jan 17,Northern Arizona,Home,W,63-52,302,NR,Q4
Jan 22,Eastern Washington,Away,W,65-61,,NR,Q4
Jan 24,Idaho,Away,W,69-66,167,NR,Q3
Jan 29,Montana,Home,L,64-60,182,NR,Q4
Jan 31,Montana State,Home,W,63-54,,NR,Q4
Feb 2,Idaho State,Home,W,88-65,,NR,Q4
Feb 7,Sacramento State,Away,W,74-73,,NR,Q4
Feb 12,Northern Arizona,Away,W,77-68,302,NR,Q4
Feb 14,Northern Colorado,Away,L,77-65,,NR,Q4
Feb 19,Idaho,Home,TBD,,167,NR,Q4
Feb 21,Eastern Washington,Home,TBD,,,NR,Q4
Feb 26,Montana State,Away,TBD,,,NR,Q4
Feb 28,Montana,Away,TBD,,182,NR,Q3
Mar 2,Weber State,Home,TBD,,,NR,Q4
