date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,College of Biblical Studies,Home,W,95-48,,NR,Q4
Nov 5,Dallas,Home,W,94-53,,NR,Q4
Nov 8,Wichita State,Away,L,105-62,,NR,Q4
Nov 12,Oklahoma State,Away,L,94-67,72,NR,Q1
Nov 17,Missouri,Away,L,91-73,66,NR,Q1
Nov 22,Tennessee-Martin,Neutral,L,69-68,,NR,Q4
Nov 23,North Florida,Neutral,W,85-82,337,NR,Q4
Nov 30,North Texas,Away,L,72-69,148,NR,Q3
Dec 6,Champion Christian,Home,W,124-62,,NR,Q4
Dec 13,South Dakota,Away,L,97-85,276,NR,Q4
Dec 20,Paul Quinn,Home,W,100-64,,NR,Q4
Dec 22,Louisiana State,Away,L,104-90,67,NR,Q1
Dec 29,Texas A&M,Away,L,111-82,43,NR,Q1
Jan 3,Grambling,Away,L,76-72,275,NR,Q4
Jan 5,Southern,Away,W,89-85,279,NR,Q4
Jan 10,Mississippi Valley State,Home,W,70-69,,NR,Q4
Jan 12,Arkansas-Pine Bluff,Home,W,73-61,,NR,Q4
Jan 17,Jackson State,Away,L,82-78,347,NR,Q4
Jan 19,Alcorn State,Away,L,76-75,,NR,Q4
Jan 24,Alabama State,Home,L,95-80,,NR,Q4
Jan 27,Alabama A&M,Home,L,80-60,311,NR,Q4
Jan 31,Texas Southern,Home,W,85-78,319,NR,Q4
Feb 7,Bethune-Cookman,Away,L,82-76,251,NR,Q4
Feb 9,Florida A&M,Away,L,100-96,336,NR,Q4
Feb 14,Southern,Home,L,87-82,279,NR,Q4
Feb 16,Grambling,Home,TBD,,275,NR,Q4
Feb 19,Mississippi Valley State,Away,TBD,,,NR,Q4
Feb 21,Arkansas-Pine Bluff,Away,TBD,,,NR,Q4
Feb 26,Jackson State,Home,TBD,,347,NR,Q4
Feb 28,Alcorn State,Home,TBD,,,NR,Q4
Mar 5,Texas Southern,Away,TBD,,319,NR,Q4
