date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Grand Canyon,Away,L,90-71,76,NR,Q2
Nov 7,Ohio State,Away,L,94-68,38,NR,Q1
Nov 9,Dominican (IL),Home,W,137-56,,NR,Q4
Nov 12,Western Michigan,Away,L,83-71,,NR,Q4
Nov 15,Boyce,Home,W,118-68,,NR,Q4
Nov 18,Utah,Away,L,85-77,128,NR,Q2
Nov 21,Saint Louis,Away,L,91-60,17,NR,Q1
Nov 25,Chicago State,Home,W,90-77,,NR,Q4
Nov 28,Holy Cross (IN),Home,W,92-59,,NR,Q4
Dec 3,Oakland,Away,L,101-92,154,NR,Q3
Dec 6,Northern Kentucky,Home,W,79-77,199,NR,Q4
Dec 10,Eastern Michigan,Home,W,80-65,,NR,Q4
Dec 14,Detroit Mercy,Home,W,81-77,250,NR,Q4
Dec 21,Notre Dame,Away,W,72-69,87,NR,Q2
Dec 29,Milwaukee,Away,L,77-55,246,NR,Q4
Jan 1,Green Bay,Home,L,72-54,224,NR,Q4
Jan 4,Cleveland State,Home,W,74-71,,NR,Q4
Jan 7,Youngstown State,Away,W,71-69,,NR,Q4
Jan 11,Robert Morris,Away,W,79-74,161,NR,Q3
Jan 18,Milwaukee,Home,W,100-82,246,NR,Q4
Jan 21,Detroit Mercy,Away,W,83-76,250,NR,Q4
Jan 25,IU Indy,Away,TBD,,313,NR,Q4
Jan 28,Oakland,Home,L,74-65,154,NR,Q3
Jan 31,Robert Morris,Home,W,83-71,161,NR,Q4
Feb 4,Youngstown State,Home,L,90-61,,NR,Q4
Feb 7,Wright State,Away,L,73-68,,NR,Q4
Feb 12,Green Bay,Away,L,76-59,224,NR,Q3
Feb 15,IU Indy,Home,W,83-78,313,NR,Q4
Feb 18,Northern Kentucky,Away,TBD,,199,NR,Q3
Feb 22,Cleveland State,Away,TBD,,,NR,Q4
Feb 25,Wright State,Home,TBD,,,NR,Q4
Feb 28,IU Indy,Away,TBD,,313,NR,Q4
