date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,St. John's (NY),Away,L,108-74,24,NR,Q1
Nov 6,Central Connecticut State,Home,W,71-49,,NR,Q4
Nov 11,Yale,Home,L,97-60,65,NR,Q2
Nov 16,Maine,Away,W,70-64,343,NR,Q4
Nov 19,City College of New York,Home,W,112-52,,NR,Q4
Nov 23,Pittsburgh,Away,W,83-75,124,NR,Q2
Nov 25,UCF,Away,L,102-91,50,NR,Q1
Nov 30,Stonehill,Home,W,76-62,339,NR,Q4
Dec 5,Iona,Away,W,89-68,237,NR,Q3
Dec 7,Rider,Home,W,72-58,357,NR,Q4
Dec 13,Massachusetts-Lowell,Home,W,75-71,323,NR,Q4
Dec 17,Monmouth,Away,W,85-75,193,NR,Q3
Dec 21,Hofstra,Away,L,74-66,102,NR,Q2
Dec 29,Marist,Home,W,64-58,170,NR,Q4
Jan 2,Manhattan,Away,L,80-79,321,NR,Q4
Jan 4,Mount St. Mary's,Home,W,80-69,299,NR,Q4
Jan 11,Sacred Heart,Away,W,70-60,297,NR,Q4
Jan 14,Saint Peter's,Home,L,74-70,226,NR,Q4
Jan 17,Merrimack,Away,L,83-71,185,NR,Q3
Jan 19,Manhattan,Home,W,98-92,321,NR,Q4
Jan 22,Mount St. Mary's,Away,W,77-62,299,NR,Q4
Jan 24,Marist,Away,L,71-64,170,NR,Q3
Jan 30,Sacred Heart,Home,L,98-91,297,NR,Q4
Feb 1,Fairfield,Away,W,72-65,242,NR,Q4
Feb 5,Canisius,Home,W,75-60,348,NR,Q4
Feb 7,Niagara,Home,W,56-55,342,NR,Q4
Feb 13,Siena,Away,W,74-62,188,NR,Q3
Feb 15,Merrimack,Home,L,56-49,185,NR,Q4
Feb 22,Fairfield,Home,TBD,,242,NR,Q4
Feb 27,Niagara,Away,TBD,,342,NR,Q4
Mar 1,Canisius,Away,TBD,,348,NR,Q4
