date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Stetson,Home,W,93-62,325,NR,Q4
Nov 7,Tulsa,Neutral,L,82-65,53,NR,Q2
Nov 11,Stonehill,Home,W,80-57,339,NR,Q4
Nov 14,Albany (NY),Home,W,80-61,,NR,Q4
Nov 18,Yale,Away,W,86-77,65,NR,Q1
Nov 24,Towson,Neutral,L,62-55,176,NR,Q3
Nov 25,Vermont,Neutral,W,80-65,215,NR,Q4
Nov 26,Temple,Neutral,W,90-75,162,NR,Q3
Dec 2,Brown,Home,W,66-56,285,NR,Q4
Dec 6,Providence,Away,L,90-71,79,NR,Q2
Dec 9,McNeese State,Home,L,66-64,56,NR,Q2
Dec 16,Canisius,Home,W,62-45,348,NR,Q4
Dec 22,Northeastern,Home,W,85-77,273,NR,Q4
Dec 31,Loyola (IL),Home,L,61-57,,NR,Q4
Jan 3,George Mason,Away,L,61-50,91,NR,Q2
Jan 7,La Salle,Home,L,79-72,241,NR,Q4
Jan 10,Davidson,Away,W,70-45,104,NR,Q2
Jan 14,Virginia Commonwealth,Home,L,84-75,,NR,Q4
Jan 21,Richmond,Away,W,69-68,142,NR,Q3
Jan 24,George Mason,Home,W,74-65,91,NR,Q3
Jan 27,Dayton,Away,W,81-76,89,NR,Q2
Feb 1,Duquesne,Away,L,76-61,117,NR,Q2
Feb 7,Richmond,Home,W,82-77,142,NR,Q3
Feb 10,George Washington,Away,L,75-70,84,NR,Q2
Feb 14,Fordham,Home,L,70-66,178,NR,Q4
Feb 17,Saint Louis,Home,TBD,,17,NR,Q1
Feb 21,La Salle,Away,TBD,,241,NR,Q4
Feb 25,St. Bonaventure,Away,TBD,,145,NR,Q3
Feb 28,Saint Joseph's,Home,TBD,,157,NR,Q3
Mar 4,Duquesne,Home,TBD,,117,NR,Q3
Mar 7,Fordham,Away,TBD,,178,NR,Q3
