date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,Southern Virginia,Home,W,84-56,,NR,Q4
Nov 8,East Carolina,Home,W,87-72,269,NR,Q4
Nov 11,William & Mary,Home,W,90-86,114,NR,Q3
Nov 19,Virginia Military Institute,Home,W,87-54,,NR,Q4
Nov 22,Gardner-Webb,Home,W,102-67,363,NR,Q4
Nov 27,Furman,Neutral,L,73-72,194,NR,Q3
Nov 28,Charlotte,Neutral,W,71-66,189,NR,Q3
Dec 3,Belmont,Away,W,84-76,55,NR,Q1
Dec 6,Old Dominion,Home,W,86-77,256,NR,Q4
Dec 13,Southern Illinois,Home,W,93-84,126,NR,Q3
Dec 17,Elon,Away,L,73-70,192,NR,Q3
Dec 20,The Citadel,Home,W,80-56,351,NR,Q4
Dec 28,Charleston Southern,Home,L,77-72,,NR,Q4
Dec 31,George Washington,Home,L,99-85,84,NR,Q3
Jan 4,Fordham,Away,W,83-75,178,NR,Q3
Jan 7,St. Bonaventure,Away,W,89-80,145,NR,Q3
Jan 11,Saint Joseph's,Home,L,67-65,157,NR,Q3
Jan 14,La Salle,Home,W,74-53,241,NR,Q4
Jan 17,Saint Louis,Away,L,88-63,17,NR,Q1
Jan 21,Rhode Island,Home,L,69-68,136,NR,Q3
Jan 24,George Washington,Away,L,85-69,84,NR,Q2
Jan 27,Virginia Commonwealth,Away,L,77-69,,NR,Q4
Jan 31,Davidson,Home,L,79-54,104,NR,Q3
Feb 7,Rhode Island,Away,L,82-77,136,NR,Q3
Feb 10,George Mason,Home,W,82-70,91,NR,Q3
Feb 14,Virginia Commonwealth,Home,L,78-67,,NR,Q4
Feb 18,Davidson,Away,TBD,,104,NR,Q2
Feb 21,St. Bonaventure,Home,TBD,,145,NR,Q3
Feb 28,Loyola (IL),Away,TBD,,,NR,Q4
Mar 3,Dayton,Home,TBD,,89,NR,Q3
Mar 7,Duquesne,Away,TBD,,117,NR,Q2
