date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Iowa,Away,L,101-69,27,NR,Q1
Nov 6,Drake,Away,W,81-79,200,NR,Q3
Nov 10,Geneva,Home,W,93-47,,NR,Q4
Nov 13,Pittsburgh-Greensburg,Home,W,81-57,,NR,Q4
Nov 20,St. Bonaventure,Away,L,75-61,145,NR,Q3
Nov 23,Monmouth,Away,L,71-70,193,NR,Q3
Nov 26,Illinois-Chicago,Home,W,88-74,,NR,Q4
Nov 28,Southern Utah,Home,W,61-54,282,NR,Q4
Nov 30,Stetson,Home,W,80-62,325,NR,Q4
Dec 4,Green Bay,Away,W,80-78,224,NR,Q3
Dec 6,Milwaukee,Away,L,74-72,246,NR,Q4
Dec 13,Toledo,Home,W,75-70,172,NR,Q4
Dec 17,Youngstown State,Home,W,80-77,,NR,Q4
Dec 20,Saint Francis (PA),Away,W,79-70,,NR,Q4
Dec 29,Northern Kentucky,Home,L,79-77,199,NR,Q4
Jan 2,Detroit Mercy,Away,W,85-77,250,NR,Q4
Jan 4,Oakland,Away,L,96-73,154,NR,Q3
Jan 11,Purdue Fort Wayne,Home,L,79-74,253,NR,Q4
Jan 15,IU Indy,Away,L,96-93,313,NR,Q4
Jan 17,Northern Kentucky,Away,W,92-89,199,NR,Q3
Jan 22,Milwaukee,Home,W,88-76,246,NR,Q4
Jan 24,Green Bay,Home,L,71-67,224,NR,Q4
Jan 28,IU Indy,Home,W,74-58,313,NR,Q4
Jan 31,Purdue Fort Wayne,Away,L,83-71,253,NR,Q4
Feb 4,Wright State,Home,W,72-66,,NR,Q4
Feb 7,Youngstown State,Away,W,72-66,,NR,Q4
Feb 12,Cleveland State,Away,W,85-68,,NR,Q4
Feb 15,Oakland,Home,W,93-69,154,NR,Q3
Feb 22,Wright State,Away,TBD,,,NR,Q4
Feb 25,Detroit Mercy,Home,TBD,,250,NR,Q4
Feb 28,Cleveland State,Home,TBD,,,NR,Q4
