date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Merchant Marine,Home,W,103-46,,NR,Q4
Nov 7,Duquesne,Away,L,92-80,117,NR,Q2
Nov 11,Villanova,Away,L,94-60,30,NR,Q1
Nov 15,Queens (NC),Away,L,81-64,205,NR,Q3
Nov 21,Holy Cross,Home,W,79-66,327,NR,Q4
Nov 24,Central Connecticut State,Away,L,108-106,,NR,Q4
Nov 29,Penn State,Away,L,90-59,122,NR,Q2
Dec 3,Mount St. Mary's,Away,W,87-80,299,NR,Q4
Dec 7,Iona,Home,L,81-69,237,NR,Q4
Dec 13,NJIT,Away,W,65-49,301,NR,Q4
Dec 16,Massachusetts-Lowell,Away,L,87-82,323,NR,Q4
Dec 19,Dartmouth,Home,W,85-63,252,NR,Q4
Dec 22,Towson,Away,L,72-47,176,NR,Q3
Dec 29,Merrimack,Home,L,80-72,185,NR,Q4
Jan 2,Niagara,Away,L,64-61,342,NR,Q4
Jan 4,Canisius,Away,L,82-78,348,NR,Q4
Jan 9,Marist,Home,L,76-72,170,NR,Q4
Jan 11,Quinnipiac,Home,L,70-60,202,NR,Q4
Jan 14,Siena,Away,W,86-80,188,NR,Q3
Jan 19,Rider,Away,W,105-85,357,NR,Q4
Jan 22,Canisius,Home,W,69-66,348,NR,Q4
Jan 24,Niagara,Home,W,71-70,342,NR,Q4
Jan 30,Quinnipiac,Away,W,98-91,202,NR,Q3
Feb 1,Merrimack,Away,L,75-58,185,NR,Q3
Feb 5,Fairfield,Home,L,92-87,242,NR,Q4
Feb 7,Manhattan,Away,L,80-68,321,NR,Q4
Feb 13,Saint Peter's,Home,W,78-71,226,NR,Q4
Feb 15,Rider,Home,W,86-75,357,NR,Q4
Feb 20,Fairfield,Away,TBD,,242,NR,Q4
Feb 22,Marist,Away,TBD,,170,NR,Q3
Feb 27,Mount St. Mary's,Home,TBD,,299,NR,Q4
