date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Lafayette,Home,W,85-76,326,NR,Q4
Nov 8,Drexel,Home,W,76-65,217,NR,Q4
Nov 12,Virginia Tech,Away,L,94-59,58,NR,Q1
Nov 17,Pennsylvania,Away,L,83-74,,NR,Q4
Nov 20,Nevada-Las Vegas,Away,L,99-85,,NR,Q4
Nov 25,Rutgers-Camden,Home,W,100-61,,NR,Q4
Nov 30,Princeton,Neutral,W,60-58,254,NR,Q4
Dec 6,Temple,Neutral,W,70-69,162,NR,Q3
Dec 9,Coppin State,Home,W,87-65,,NR,Q4
Dec 11,Syracuse,Away,L,71-63,69,NR,Q1
Dec 18,Delaware State,Home,W,67-51,,NR,Q4
Dec 22,Coastal Carolina,Home,L,68-62,221,NR,Q4
Dec 28,Arcadia,Home,W,87-65,,NR,Q4
Dec 31,Saint Louis,Away,L,102-79,17,NR,Q1
Jan 3,Davidson,Home,L,62-56,104,NR,Q3
Jan 7,Duquesne,Home,W,97-90,117,NR,Q3
Jan 11,Richmond,Away,W,67-65,142,NR,Q3
Jan 14,St. Bonaventure,Home,W,68-64,145,NR,Q3
Jan 19,Virginia Commonwealth,Away,L,79-72,,NR,Q4
Jan 24,Dayton,Home,W,81-74,89,NR,Q3
Jan 27,Loyola (IL),Away,W,85-64,,NR,Q4
Jan 31,La Salle,Away,W,67-58,241,NR,Q4
Feb 3,Lasell,Home,TBD,,,NR,Q4
Feb 4,George Washington,Home,W,76-73,84,NR,Q3
Feb 7,George Mason,Away,L,60-52,91,NR,Q2
Feb 10,Fordham,Home,L,68-64,178,NR,Q4
Feb 18,St. Bonaventure,Away,TBD,,145,NR,Q3
Feb 21,Loyola (IL),Home,TBD,,,NR,Q4
Feb 25,George Mason,Home,TBD,,91,NR,Q3
Feb 28,Rhode Island,Away,TBD,,136,NR,Q3
Mar 4,Davidson,Away,TBD,,104,NR,Q2
Mar 7,La Salle,Home,TBD,,241,NR,Q4
