date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Seton Hall,Away,L,77-50,49,NR,Q1
Nov 8,FDU,Home,W,93-83,328,NR,Q4
Nov 12,Virginia Commonwealth,Away,L,78-61,,NR,Q4
Nov 18,Delaware,Away,L,81-70,267,NR,Q4
Nov 22,Massachusetts-Lowell,Home,W,68-66,323,NR,Q4
Nov 29,Dartmouth,Home,L,87-61,252,NR,Q4
Dec 5,Canisius,Home,W,69-57,348,NR,Q4
Dec 7,Niagara,Home,W,71-43,342,NR,Q4
Dec 13,Georgetown,Away,L,76-68,90,NR,Q2
Dec 22,Centenary (NJ),Home,W,116-50,,NR,Q4
Dec 29,Fairfield,Away,W,70-66,242,NR,Q4
Jan 2,Marist,Home,W,69-59,170,NR,Q4
Jan 9,Mount St. Mary's,Away,L,70-65,299,NR,Q4
Jan 11,Merrimack,Home,W,76-63,185,NR,Q4
Jan 14,Quinnipiac,Away,W,74-70,202,NR,Q3
Jan 17,Rider,Home,W,69-58,357,NR,Q4
Jan 19,Iona,Home,W,77-63,237,NR,Q4
Jan 24,Merrimack,Away,L,67-59,185,NR,Q3
Jan 30,Mount St. Mary's,Home,W,66-58,299,NR,Q4
Feb 1,Rider,Away,L,81-78,357,NR,Q4
Feb 5,Manhattan,Away,W,80-75,321,NR,Q4
Feb 7,Siena,Home,W,70-65,188,NR,Q4
Feb 13,Sacred Heart,Away,L,78-71,297,NR,Q4
Feb 15,Fairfield,Home,W,83-74,242,NR,Q4
Feb 20,Iona,Away,TBD,,237,NR,Q3
Feb 22,Siena,Away,TBD,,188,NR,Q3
Feb 27,Manhattan,Home,TBD,,321,NR,Q4
Mar 1,Marist,Away,TBD,,170,NR,Q3
