date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,LeTourneau,Home,W,95-59,,NR,Q4
Nov 7,Texas Tech,Away,L,98-77,16,NR,Q1
Nov 15,Utah,Away,L,85-79,128,NR,Q2
Nov 19,Wyoming,Home,W,78-70,101,NR,Q3
Nov 22,Schreiner,Home,W,105-54,,NR,Q4
Nov 26,Idaho State,Neutral,W,84-81,,NR,Q4
Nov 28,Idaho,Neutral,W,94-68,167,NR,Q3
Dec 2,Oklahoma State,Away,L,93-83,72,NR,Q1
Dec 6,Texas Southern,Away,W,82-70,319,NR,Q4
Dec 17,Oregon State,Away,W,85-75,184,NR,Q3
Dec 21,New Mexico State,Away,L,87-78,173,NR,Q3
Dec 28,College of Biblical Studies,Home,W,117-57,,NR,Q4
Jan 2,Western Kentucky,Away,L,102-91,175,NR,Q3
Jan 4,Middle Tennessee,Away,L,68-67,159,NR,Q3
Jan 8,Delaware,Home,W,72-60,267,NR,Q4
Jan 10,Liberty,Home,L,82-74,74,NR,Q2
Jan 14,Jacksonville State,Away,W,77-62,,NR,Q4
Jan 17,Florida International,Away,W,76-63,,NR,Q4
Jan 21,Kennesaw State,Home,W,93-87,,NR,Q4
Jan 24,Western Kentucky,Home,W,73-58,175,NR,Q4
Jan 28,Missouri State,Away,W,80-71,,NR,Q4
Jan 31,Louisiana Tech,Home,W,83-67,247,NR,Q4
Feb 4,UTEP,Home,W,70-66,264,NR,Q4
Feb 7,Louisiana Tech,Away,L,87-78,247,NR,Q4
Feb 14,Kennesaw State,Away,W,83-79,,NR,Q4
Feb 18,Middle Tennessee,Home,TBD,,159,NR,Q3
Feb 21,Jacksonville State,Home,TBD,,,NR,Q4
Feb 26,Florida International,Home,TBD,,,NR,Q4
Feb 28,Missouri State,Home,TBD,,,NR,Q4
Mar 5,Delaware,Away,TBD,,267,NR,Q4
Mar 7,Liberty,Away,TBD,,74,NR,Q1
